Date,Interest Rate,Economic Growth Rate
1/30/2000,8,3.841
2/1/2000,9.6,3.841
2/3/2000,9.371,3.853
2/5/2000,9.143,3.864
2/7/2000,8.914,3.876
2/10/2000,8.686,3.888
2/12/2000,8.457,3.9
2/14/2000,8.229,3.911
2/16/2000,8,3.923
2/19/2000,9.6,3.923
2/21/2000,12,3.923
2/23/2000,11.657,3.935
2/25/2000,11.314,3.946
2/27/2000,10.971,3.958
2/29/2000,10.629,3.97
3/2/2000,10.286,3.982
3/4/2000,9.943,3.993
3/6/2000,9.6,4.005
3/9/2000,12,4.005
3/14/2000,12,4.005
3/19/2000,11.857,4.017
3/24/2000,11.714,4.028
3/29/2000,11.571,4.04
4/3/2000,11.429,4.052
4/8/2000,11.286,4.064
4/13/2000,11.143,4.075
4/18/2000,11,4.087
4/23/2000,11,4.087
4/25/2000,11,4.087
4/27/2000,10.786,4.099
4/29/2000,10.571,4.11
5/1/2000,10.357,4.122
5/3/2000,10.143,4.134
5/5/2000,9.929,4.146
5/7/2000,9.714,4.157
5/9/2000,9.5,4.169
5/12/2000,9.5,4.169
5/14/2000,9.5,4.169
5/16/2000,9.464,4.181
5/19/2000,9.429,4.192
5/21/2000,9.393,4.204
5/23/2000,9.357,4.216
5/26/2000,9.321,4.228
5/28/2000,9.286,4.239
5/30/2000,9.25,4.251
6/2/2000,9.25,4.251
6/7/2000,9.25,4.251
6/13/2000,9.229,4.263
6/19/2000,9.207,4.274
6/24/2000,9.186,4.286
6/30/2000,9.164,4.297
7/6/2000,9.143,4.309
7/11/2000,9.121,4.32
7/17/2000,9.1,4.332
7/23/2000,9.1,4.332
7/25/2000,9.1,4.332
7/27/2000,9.086,4.344
7/29/2000,9.071,4.355
7/31/2000,9.057,4.367
8/3/2000,9.043,4.379
8/5/2000,9.029,4.391
8/7/2000,9.014,4.402
8/9/2000,9,4.414
8/12/2000,9,4.414
8/15/2000,9,4.414
8/18/2000,8.964,4.426
8/22/2000,8.929,4.437
8/25/2000,8.893,4.449
8/29/2000,8.857,4.461
9/1/2000,8.821,4.473
9/5/2000,8.786,4.484
9/8/2000,8.75,4.496
9/12/2000,8.75,4.496
9/17/2000,8.75,4.496
9/22/2000,8.679,4.508
9/28/2000,8.607,4.519
10/3/2000,8.536,4.531
10/9/2000,8.464,4.543
10/14/2000,8.393,4.555
10/20/2000,8.321,4.566
10/25/2000,8.25,4.578
10/31/2000,8.25,4.578
11/3/2000,8.25,4.578
11/6/2000,8.214,4.59
11/10/2000,8.179,4.601
11/13/2000,8.143,4.613
11/16/2000,8.107,4.625
11/20/2000,8.071,4.637
11/23/2000,8.036,4.648
11/26/2000,8,4.66
11/30/2000,8,4.66
12/2/2000,8,4.66
12/4/2000,8,4.672
12/6/2000,8,4.683
12/8/2000,8,4.695
12/11/2000,8,4.707
12/13/2000,8,4.719
12/15/2000,8,4.73
12/17/2000,8,4.742
12/20/2000,8,4.742
12/24/2000,8,4.742
12/29/2000,8,4.754
1/2/2001,8,4.765
1/7/2001,8,4.777
1/11/2001,8,4.789
1/16/2001,8,4.801
1/20/2001,8,4.812
1/25/2001,8,4.824
1/30/2001,8,4.824
2/1/2001,8,4.739
2/3/2001,7.929,4.751
2/5/2001,7.857,4.763
2/7/2001,7.786,4.775
2/10/2001,7.714,4.788
2/12/2001,7.643,4.8
2/14/2001,7.571,4.812
2/16/2001,7.5,4.824
2/19/2001,7.5,4.739
2/21/2001,7.5,4.654
2/23/2001,7.429,4.666
2/25/2001,7.357,4.678
2/27/2001,7.286,4.69
3/1/2001,7.214,4.703
3/3/2001,7.143,4.715
3/5/2001,7.071,4.727
3/7/2001,7,4.739
3/9/2001,7,4.654
3/14/2001,7,4.569
3/19/2001,6.964,4.581
3/24/2001,6.929,4.593
3/29/2001,6.893,4.605
4/3/2001,6.857,4.618
4/8/2001,6.821,4.63
4/13/2001,6.786,4.642
4/18/2001,6.75,4.654
4/23/2001,6.75,4.569
4/25/2001,6.75,4.484
4/27/2001,6.75,4.496
4/29/2001,6.75,4.508
5/1/2001,6.75,4.52
5/3/2001,6.75,4.533
5/5/2001,6.75,4.545
5/7/2001,6.75,4.557
5/9/2001,6.75,4.569
5/12/2001,6.75,4.484
5/14/2001,6.75,4.399
5/16/2001,6.714,4.411
5/19/2001,6.679,4.423
5/21/2001,6.643,4.435
5/23/2001,6.607,4.448
5/26/2001,6.571,4.46
5/28/2001,6.536,4.472
5/30/2001,6.5,4.484
6/2/2001,6.5,4.399
6/7/2001,6.5,4.314
6/13/2001,6.5,4.326
6/19/2001,6.5,4.338
6/24/2001,6.5,4.35
6/30/2001,6.5,4.363
7/6/2001,6.5,4.375
7/11/2001,6.5,4.387
7/17/2001,6.5,4.399
7/23/2001,6.5,4.314
7/25/2001,6.5,4.229
7/27/2001,6.5,4.241
7/29/2001,6.5,4.253
7/31/2001,6.5,4.265
8/3/2001,6.5,4.278
8/5/2001,6.5,4.29
8/7/2001,6.5,4.302
8/9/2001,6.5,4.314
8/12/2001,6.5,4.229
8/15/2001,6.5,4.144
8/18/2001,6.5,4.156
8/22/2001,6.5,4.168
8/25/2001,6.5,4.18
8/29/2001,6.5,4.193
9/1/2001,6.5,4.205
9/5/2001,6.5,4.217
9/8/2001,6.5,4.229
9/12/2001,6.5,4.144
9/17/2001,6.5,4.059
9/22/2001,6.5,4.071
9/28/2001,6.5,4.083
10/3/2001,6.5,4.095
10/9/2001,6.5,4.108
10/14/2001,6.5,4.12
10/20/2001,6.5,4.132
10/25/2001,6.5,4.144
10/31/2001,6.5,4.059
11/3/2001,6.5,3.974
11/6/2001,6.5,3.986
11/10/2001,6.5,3.998
11/13/2001,6.5,4.01
11/16/2001,6.5,4.023
11/20/2001,6.5,4.035
11/23/2001,6.5,4.047
11/26/2001,6.5,4.059
11/30/2001,6.5,3.974
12/2/2001,6.5,3.889
12/4/2001,6.5,3.901
12/6/2001,6.5,3.913
12/8/2001,6.5,3.925
12/11/2001,6.5,3.938
12/13/2001,6.5,3.95
12/15/2001,6.5,3.962
12/17/2001,6.5,3.974
12/20/2001,6.5,3.889
12/24/2001,6.5,3.804
12/29/2001,6.5,3.816
1/2/2002,6.5,3.828
1/7/2002,6.5,3.84
1/11/2002,6.5,3.853
1/16/2002,6.5,3.865
1/20/2002,6.5,3.877
1/25/2002,6.5,3.889
1/30/2002,6.5,3.804
2/1/2002,6.5,3.804
2/3/2002,6.5,3.852
2/5/2002,6.5,3.901
2/7/2002,6.5,3.949
2/10/2002,6.5,3.997
2/12/2002,6.5,4.045
2/14/2002,6.5,4.094
2/16/2002,6.5,4.142
