Date,Average,Gdp Per Capita
1/30/2000,8,442.036
2/1/2000,9.6,442.036
2/3/2000,9.371,442.13
2/5/2000,9.143,442.223
2/7/2000,8.914,442.317
2/10/2000,8.686,442.411
2/12/2000,8.457,442.505
2/14/2000,8.229,442.598
2/16/2000,8,442.692
2/19/2000,9.6,442.692
2/21/2000,12,442.692
2/23/2000,11.657,442.786
2/25/2000,11.314,442.879
2/27/2000,10.971,442.973
2/29/2000,10.629,443.067
3/2/2000,10.286,443.161
3/4/2000,9.943,443.254
3/6/2000,9.6,443.348
3/9/2000,12,443.348
3/14/2000,12,443.348
3/19/2000,11.857,443.442
3/24/2000,11.714,443.535
3/29/2000,11.571,443.629
4/3/2000,11.429,443.723
4/8/2000,11.286,443.817
4/13/2000,11.143,443.91
4/18/2000,11,444.004
4/23/2000,11,444.004
4/25/2000,11,444.004
4/27/2000,10.786,444.098
4/29/2000,10.571,444.192
5/1/2000,10.357,444.286
5/3/2000,10.143,444.379
5/5/2000,9.929,444.473
5/7/2000,9.714,444.567
5/9/2000,9.5,444.661
5/12/2000,9.5,444.661
5/14/2000,9.5,444.661
5/16/2000,9.464,444.755
5/19/2000,9.429,444.848
5/21/2000,9.393,444.942
5/23/2000,9.357,445.036
5/26/2000,9.321,445.13
5/28/2000,9.286,445.223
5/30/2000,9.25,445.317
6/2/2000,9.25,445.317
6/7/2000,9.25,445.317
6/13/2000,9.229,445.411
6/19/2000,9.207,445.504
6/24/2000,9.186,445.598
6/30/2000,9.164,445.692
7/6/2000,9.143,445.786
7/11/2000,9.121,445.879
7/17/2000,9.1,445.973
7/23/2000,9.1,445.973
7/25/2000,9.1,445.973
7/27/2000,9.086,446.067
7/29/2000,9.071,446.16
7/31/2000,9.057,446.254
8/3/2000,9.043,446.348
8/5/2000,9.029,446.442
8/7/2000,9.014,446.535
8/9/2000,9,446.629
8/12/2000,9,446.629
8/15/2000,9,446.629
8/18/2000,8.964,446.723
8/22/2000,8.929,446.816
8/25/2000,8.893,446.91
8/29/2000,8.857,447.004
9/1/2000,8.821,447.098
9/5/2000,8.786,447.191
9/8/2000,8.75,447.285
9/12/2000,8.75,447.285
9/17/2000,8.75,447.285
9/22/2000,8.679,447.379
9/28/2000,8.607,447.473
10/3/2000,8.536,447.567
10/9/2000,8.464,447.66
10/14/2000,8.393,447.754
10/20/2000,8.321,447.848
10/25/2000,8.25,447.942
10/31/2000,8.25,447.942
11/3/2000,8.25,447.942
11/6/2000,8.214,448.036
11/10/2000,8.179,448.129
11/13/2000,8.143,448.223
11/16/2000,8.107,448.317
11/20/2000,8.071,448.411
11/23/2000,8.036,448.504
11/26/2000,8,448.598
11/30/2000,8,448.598
12/2/2000,8,448.598
12/4/2000,8,448.692
12/6/2000,8,448.785
12/8/2000,8,448.879
12/11/2000,8,448.973
