Date,Average,Loan Rate
1/30/2000,8,12.292
2/1/2000,9.6,12.276
2/3/2000,9.371,12.278
2/5/2000,9.143,12.281
2/7/2000,8.914,12.283
2/10/2000,8.686,12.285
2/12/2000,8.457,12.287
2/14/2000,8.229,12.29
2/16/2000,8,12.292
2/19/2000,9.6,12.276
2/21/2000,12,12.26
2/23/2000,11.657,12.262
2/25/2000,11.314,12.265
2/27/2000,10.971,12.267
2/29/2000,10.629,12.269
3/2/2000,10.286,12.271
3/4/2000,9.943,12.274
3/6/2000,9.6,12.276
3/9/2000,12,12.26
3/14/2000,12,12.244
3/19/2000,11.857,12.246
3/24/2000,11.714,12.249
3/29/2000,11.571,12.251
4/3/2000,11.429,12.253
4/8/2000,11.286,12.255
4/13/2000,11.143,12.258
4/18/2000,11,12.26
4/23/2000,11,12.244
4/25/2000,11,12.228
4/27/2000,10.786,12.23
4/29/2000,10.571,12.233
5/1/2000,10.357,12.235
5/3/2000,10.143,12.237
5/5/2000,9.929,12.239
5/7/2000,9.714,12.242
5/9/2000,9.5,12.244
5/12/2000,9.5,12.228
5/14/2000,9.5,12.212
5/16/2000,9.464,12.214
5/19/2000,9.429,12.217
5/21/2000,9.393,12.219
5/23/2000,9.357,12.221
5/26/2000,9.321,12.223
5/28/2000,9.286,12.226
5/30/2000,9.25,12.228
6/2/2000,9.25,12.212
6/7/2000,9.25,12.196
6/13/2000,9.229,12.198
6/19/2000,9.207,12.201
6/24/2000,9.186,12.203
6/30/2000,9.164,12.205
7/6/2000,9.143,12.207
7/11/2000,9.121,12.21
7/17/2000,9.1,12.212
7/23/2000,9.1,12.196
7/25/2000,9.1,12.179
7/27/2000,9.086,12.181
7/29/2000,9.071,12.184
7/31/2000,9.057,12.186
8/3/2000,9.043,12.189
8/5/2000,9.029,12.191
8/7/2000,9.014,12.194
8/9/2000,9,12.196
8/12/2000,9,12.179
8/15/2000,9,12.163
8/18/2000,8.964,12.165
8/22/2000,8.929,12.168
8/25/2000,8.893,12.17
8/29/2000,8.857,12.172
9/1/2000,8.821,12.174
9/5/2000,8.786,12.177
9/8/2000,8.75,12.179
9/12/2000,8.75,12.163
9/17/2000,8.75,12.147
9/22/2000,8.679,12.149
9/28/2000,8.607,12.152
10/3/2000,8.536,12.154
10/9/2000,8.464,12.156
10/14/2000,8.393,12.158
10/20/2000,8.321,12.161
10/25/2000,8.25,12.163
10/31/2000,8.25,12.147
11/3/2000,8.25,12.131
11/6/2000,8.214,12.133
11/10/2000,8.179,12.136
11/13/2000,8.143,12.138
11/16/2000,8.107,12.14
11/20/2000,8.071,12.142
11/23/2000,8.036,12.145
11/26/2000,8,12.147
11/30/2000,8,12.131
12/2/2000,8,12.115
12/4/2000,8,12.117
12/6/2000,8,12.12
12/8/2000,8,12.122
12/11/2000,8,12.124
12/13/2000,8,12.126
12/15/2000,8,12.129
12/17/2000,8,12.131
12/20/2000,8,12.115
12/24/2000,8,12.099
12/29/2000,8,12.101
1/2/2001,8,12.104
1/7/2001,8,12.106
1/11/2001,8,12.108
1/16/2001,8,12.11
1/20/2001,8,12.113
1/25/2001,8,12.115
1/30/2001,8,12.099
2/1/2001,8,12.083
2/3/2001,7.929,12.085
2/5/2001,7.857,12.088
2/7/2001,7.786,12.09
2/10/2001,7.714,12.092
2/12/2001,7.643,12.094
2/14/2001,7.571,12.097
2/16/2001,7.5,12.099
2/19/2001,7.5,12.083
2/21/2001,7.5,12.068
2/23/2001,7.429,12.07
2/25/2001,7.357,12.072
2/27/2001,7.286,12.074
3/1/2001,7.214,12.077
3/3/2001,7.143,12.079
3/5/2001,7.071,12.081
3/7/2001,7,12.083
3/9/2001,7,12.068
3/14/2001,7,12.053
3/19/2001,6.964,12.055
3/24/2001,6.929,12.057
3/29/2001,6.893,12.059
4/3/2001,6.857,12.062
4/8/2001,6.821,12.064
4/13/2001,6.786,12.066
4/18/2001,6.75,12.068
4/23/2001,6.75,12.053
4/25/2001,6.75,12.038
4/27/2001,6.75,12.04
4/29/2001,6.75,12.042
5/1/2001,6.75,12.044
5/3/2001,6.75,12.047
5/5/2001,6.75,12.049
5/7/2001,6.75,12.051
5/9/2001,6.75,12.053
5/12/2001,6.75,12.038
5/14/2001,6.75,12.023
5/16/2001,6.714,12.025
5/19/2001,6.679,12.027
5/21/2001,6.643,12.029
5/23/2001,6.607,12.032
5/26/2001,6.571,12.034
5/28/2001,6.536,12.036
5/30/2001,6.5,12.038
6/2/2001,6.5,12.023
6/7/2001,6.5,12.008
6/13/2001,6.5,12.01
6/19/2001,6.5,12.012
6/24/2001,6.5,12.014
6/30/2001,6.5,12.017
7/6/2001,6.5,12.019
7/11/2001,6.5,12.021
7/17/2001,6.5,12.023
7/23/2001,6.5,12.008
7/25/2001,6.5,11.992
7/27/2001,6.5,11.994
7/29/2001,6.5,11.997
7/31/2001,6.5,11.999
8/3/2001,6.5,12.001
8/5/2001,6.5,12.003
8/7/2001,6.5,12.006
8/9/2001,6.5,12.008
8/12/2001,6.5,11.992
8/15/2001,6.5,11.977
8/18/2001,6.5,11.979
8/22/2001,6.5,11.981
8/25/2001,6.5,11.983
8/29/2001,6.5,11.986
9/1/2001,6.5,11.988
9/5/2001,6.5,11.99
9/8/2001,6.5,11.992
9/12/2001,6.5,11.977
9/17/2001,6.5,11.962
9/22/2001,6.5,11.964
9/28/2001,6.5,11.966
10/3/2001,6.5,11.968
10/9/2001,6.5,11.971
10/14/2001,6.5,11.973
10/20/2001,6.5,11.975
10/25/2001,6.5,11.977
10/31/2001,6.5,11.962
11/3/2001,6.5,11.947
11/6/2001,6.5,11.949
11/10/2001,6.5,11.951
11/13/2001,6.5,11.953
11/16/2001,6.5,11.956
11/20/2001,6.5,11.958
11/23/2001,6.5,11.96
11/26/2001,6.5,11.962
11/30/2001,6.5,11.947
12/2/2001,6.5,11.932
12/4/2001,6.5,11.934
12/6/2001,6.5,11.936
12/8/2001,6.5,11.938
12/11/2001,6.5,11.941
12/13/2001,6.5,11.943
12/15/2001,6.5,11.945
12/17/2001,6.5,11.947
12/20/2001,6.5,11.932
12/24/2001,6.5,11.917
12/29/2001,6.5,11.919
1/2/2002,6.5,11.921
1/7/2002,6.5,11.923
1/11/2002,6.5,11.926
1/16/2002,6.5,11.928
1/20/2002,6.5,11.93
1/25/2002,6.5,11.932
