Date,Gdp Per Capita
2000-01-30,442.036
2000-02-01,442.036
2000-02-03,442.13
2000-02-05,442.223
2000-02-07,442.317
2000-02-10,442.411
2000-02-12,442.505
2000-02-14,442.598
2000-02-16,442.692
2000-02-19,442.692
2000-02-21,442.692
2000-02-23,442.786
2000-02-25,442.879
2000-02-27,442.973
2000-02-29,443.067
2000-03-02,443.161
2000-03-04,443.254
2000-03-06,443.348
2000-03-09,443.348
2000-03-14,443.348
2000-03-19,443.442
2000-03-24,443.535
2000-03-29,443.629
2000-04-03,443.723
2000-04-08,443.817
2000-04-13,443.91
2000-04-18,444.004
2000-04-23,444.004
2000-04-25,444.004
2000-04-27,444.098
2000-04-29,444.192
2000-05-01,444.286
2000-05-03,444.379
2000-05-05,444.473
2000-05-07,444.567
2000-05-09,444.661
2000-05-12,444.661
2000-05-14,444.661
2000-05-16,444.755
2000-05-19,444.848
2000-05-21,444.942
2000-05-23,445.036
2000-05-26,445.13
2000-05-28,445.223
2000-05-30,445.317
2000-06-02,445.317
2000-06-07,445.317
2000-06-13,445.411
2000-06-19,445.504
2000-06-24,445.598
2000-06-30,445.692
2000-07-06,445.786
2000-07-11,445.879
2000-07-17,445.973
2000-07-23,445.973
2000-07-25,445.973
2000-07-27,446.067
2000-07-29,446.16
2000-07-31,446.254
2000-08-03,446.348
2000-08-05,446.442
2000-08-07,446.535
2000-08-09,446.629
2000-08-12,446.629
2000-08-15,446.629
2000-08-18,446.723
2000-08-22,446.816
2000-08-25,446.91
2000-08-29,447.004
2000-09-01,447.098
2000-09-05,447.191
2000-09-08,447.285
2000-09-12,447.285
2000-09-17,447.285
2000-09-22,447.379
2000-09-28,447.473
2000-10-03,447.567
2000-10-09,447.66
2000-10-14,447.754
2000-10-20,447.848
2000-10-25,447.942
2000-10-31,447.942
2000-11-03,447.942
2000-11-06,448.036
2000-11-10,448.129
2000-11-13,448.223
2000-11-16,448.317
2000-11-20,448.411
2000-11-23,448.504
2000-11-26,448.598
2000-11-30,448.598
2000-12-02,448.598
2000-12-04,448.692
2000-12-06,448.785
2000-12-08,448.879
2000-12-11,448.973
2000-12-13,449.067
