Date,Average
2000-01-30,8.0
2000-02-01,9.6
2000-02-03,9.371
2000-02-05,9.143
2000-02-07,8.914
2000-02-10,8.686
2000-02-12,8.457
2000-02-14,8.229
2000-02-16,8.0
2000-02-19,9.6
2000-02-21,12.0
2000-02-23,11.657
2000-02-25,11.314
2000-02-27,10.971
2000-02-29,10.629
2000-03-02,10.286
2000-03-04,9.943
2000-03-06,9.6
2000-03-09,12.0
2000-03-14,12.0
2000-03-19,11.857
2000-03-24,11.714
2000-03-29,11.571
2000-04-03,11.429
2000-04-08,11.286
2000-04-13,11.143
2000-04-18,11.0
2000-04-23,11.0
2000-04-25,11.0
2000-04-27,10.786
2000-04-29,10.571
2000-05-01,10.357
2000-05-03,10.143
2000-05-05,9.929
2000-05-07,9.714
2000-05-09,9.5
2000-05-12,9.5
2000-05-14,9.5
2000-05-16,9.464
2000-05-19,9.429
2000-05-21,9.393
2000-05-23,9.357
2000-05-26,9.321
2000-05-28,9.286
2000-05-30,9.25
2000-06-02,9.25
2000-06-07,9.25
2000-06-13,9.229
2000-06-19,9.207
2000-06-24,9.186
2000-06-30,9.164
2000-07-06,9.143
2000-07-11,9.121
2000-07-17,9.1
2000-07-23,9.1
2000-07-25,9.1
2000-07-27,9.086
2000-07-29,9.071
2000-07-31,9.057
2000-08-03,9.043
2000-08-05,9.029
2000-08-07,9.014
2000-08-09,9.0
2000-08-12,9.0
2000-08-15,9.0
2000-08-18,8.964
2000-08-22,8.929
2000-08-25,8.893
2000-08-29,8.857
2000-09-01,8.821
2000-09-05,8.786
2000-09-08,8.75
2000-09-12,8.75
2000-09-17,8.75
2000-09-22,8.679
2000-09-28,8.607
2000-10-03,8.536
2000-10-09,8.464
2000-10-14,8.393
2000-10-20,8.321
2000-10-25,8.25
2000-10-31,8.25
2000-11-03,8.25
2000-11-06,8.214
2000-11-10,8.179
2000-11-13,8.143
2000-11-16,8.107
2000-11-20,8.071
2000-11-23,8.036
2000-11-26,8.0
2000-11-30,8.0
2000-12-02,8.0
2000-12-04,8.0
2000-12-06,8.0
2000-12-08,8.0
2000-12-11,8.0
2000-12-13,8.0
2000-12-15,8.0
2000-12-17,8.0
2000-12-20,8.0
2000-12-24,8.0
2000-12-29,8.0
2001-01-02,8.0
2001-01-07,8.0
2001-01-11,8.0
2001-01-16,8.0
2001-01-20,8.0
2001-01-25,8.0
2001-01-30,8.0
2001-02-01,8.0
2001-02-03,7.929
2001-02-05,7.857
2001-02-07,7.786
2001-02-10,7.714
2001-02-12,7.643
2001-02-14,7.571
2001-02-16,7.5
2001-02-19,7.5
2001-02-21,7.5
2001-02-23,7.429
2001-02-25,7.357
2001-02-27,7.286
2001-03-01,7.214
2001-03-03,7.143
2001-03-05,7.071
2001-03-07,7.0
2001-03-09,7.0
2001-03-14,7.0
2001-03-19,6.964
2001-03-24,6.929
2001-03-29,6.893
2001-04-03,6.857
2001-04-08,6.821
2001-04-13,6.786
2001-04-18,6.75
2001-04-23,6.75
2001-04-25,6.75
2001-04-27,6.75
2001-04-29,6.75
2001-05-01,6.75
2001-05-03,6.75
2001-05-05,6.75
2001-05-07,6.75
2001-05-09,6.75
2001-05-12,6.75
2001-05-14,6.75
2001-05-16,6.714
2001-05-19,6.679
2001-05-21,6.643
2001-05-23,6.607
2001-05-26,6.571
2001-05-28,6.536
2001-05-30,6.5
2001-06-02,6.5
2001-06-07,6.5
2001-06-13,6.5
2001-06-19,6.5
2001-06-24,6.5
2001-06-30,6.5
2001-07-06,6.5
2001-07-11,6.5
2001-07-17,6.5
2001-07-23,6.5
2001-07-25,6.5
2001-07-27,6.5
2001-07-29,6.5
2001-07-31,6.5
2001-08-03,6.5
2001-08-05,6.5
2001-08-07,6.5
2001-08-09,6.5
2001-08-12,6.5
2001-08-15,6.5
2001-08-18,6.5
2001-08-22,6.5
2001-08-25,6.5
2001-08-29,6.5
2001-09-01,6.5
2001-09-05,6.5
2001-09-08,6.5
2001-09-12,6.5
2001-09-17,6.5
2001-09-22,6.5
2001-09-28,6.5
2001-10-03,6.5
2001-10-09,6.5
2001-10-14,6.5
2001-10-20,6.5
2001-10-25,6.5
2001-10-31,6.5
2001-11-03,6.5
2001-11-06,6.5
2001-11-10,6.5
2001-11-13,6.5
2001-11-16,6.5
2001-11-20,6.5
2001-11-23,6.5
2001-11-26,6.5
2001-11-30,6.5
2001-12-02,6.5
2001-12-04,6.5
2001-12-06,6.5
2001-12-08,6.5
2001-12-11,6.5
2001-12-13,6.5
2001-12-15,6.5
2001-12-17,6.5
2001-12-20,6.5
2001-12-24,6.5
2001-12-29,6.5
2002-01-02,6.5
2002-01-07,6.5
2002-01-11,6.5
2002-01-16,6.5
2002-01-20,6.5
2002-01-25,6.5
2002-01-30,6.5
2002-02-01,6.5
2002-02-03,6.5
2002-02-05,6.5
2002-02-07,6.5
2002-02-10,6.5
2002-02-12,6.5
2002-02-14,6.5
2002-02-16,6.5
2002-02-19,6.5
2002-02-21,6.5
2002-02-23,6.429
2002-02-25,6.357
2002-02-27,6.286
2002-03-01,6.214
2002-03-03,6.143
2002-03-05,6.071
2002-03-07,6.0
2002-03-09,6.0
2002-03-14,6.0
2002-03-19,6.0
2002-03-24,6.0
2002-03-29,6.0
2002-04-03,6.0
2002-04-08,6.0
2002-04-13,6.0
2002-04-18,6.0
2002-04-23,6.0
2002-04-25,6.0
2002-04-27,6.0
2002-04-29,6.0
2002-05-01,6.0
2002-05-03,6.0
2002-05-05,6.0
2002-05-07,6.0
2002-05-09,6.0
2002-05-12,6.0
2002-05-14,6.0
2002-05-16,5.964
2002-05-19,5.929
2002-05-21,5.893
2002-05-23,5.857
2002-05-26,5.821
2002-05-28,5.786
2002-05-30,5.75
2002-06-02,5.75
2002-06-07,5.75
2002-06-13,5.75
2002-06-19,5.75
2002-06-24,5.75
2002-06-30,5.75
2002-07-06,5.75
2002-07-11,5.75
2002-07-17,5.75
2002-07-23,5.75
2002-07-25,5.75
2002-07-27,5.75
2002-07-29,5.75
2002-07-31,5.75
2002-08-03,5.75
2002-08-05,5.75
2002-08-07,5.75
2002-08-09,5.75
2002-08-12,5.75
2002-08-15,5.75
2002-08-18,5.75
