Date,1 Year,2 Year,3 Year,5 Year
2000-01-30,6.9,7.0,7.1,7.5
2000-02-01,6.886,6.985,7.084,7.492
2000-02-03,6.873,6.971,7.069,7.484
2000-02-05,6.859,6.956,7.053,7.476
2000-02-07,6.845,6.941,7.037,7.469
2000-02-10,6.831,6.926,7.022,7.461
2000-02-12,6.818,6.912,7.006,7.453
2000-02-14,6.804,6.897,6.99,7.445
2000-02-16,6.79,6.882,6.975,7.437
2000-02-19,6.776,6.868,6.959,7.429
2000-02-21,6.763,6.853,6.943,7.422
2000-02-23,6.749,6.838,6.927,7.414
2000-02-25,6.735,6.824,6.912,7.406
2000-02-27,6.722,6.809,6.896,7.398
2000-02-29,6.708,6.794,6.88,7.39
2000-03-02,6.694,6.779,6.865,7.382
2000-03-04,6.68,6.765,6.849,7.375
2000-03-06,6.667,6.75,6.833,7.367
2000-03-09,6.653,6.735,6.818,7.359
2000-03-14,6.639,6.721,6.802,7.351
2000-03-19,6.625,6.706,6.786,7.343
2000-03-24,6.612,6.691,6.771,7.335
2000-03-29,6.598,6.676,6.755,7.327
2000-04-03,6.584,6.662,6.739,7.32
2000-04-08,6.571,6.647,6.724,7.312
2000-04-13,6.557,6.632,6.708,7.304
2000-04-18,6.543,6.618,6.692,7.296
2000-04-23,6.529,6.603,6.676,7.288
2000-04-25,6.516,6.588,6.661,7.28
2000-04-27,6.502,6.574,6.645,7.273
2000-04-29,6.488,6.559,6.629,7.265
2000-05-01,6.475,6.544,6.614,7.257
2000-05-03,6.461,6.529,6.598,7.249
2000-05-05,6.447,6.515,6.582,7.241
2000-05-07,6.433,6.5,6.567,7.233
2000-05-09,6.42,6.485,6.551,7.225
2000-05-12,6.406,6.471,6.535,7.218
2000-05-14,6.392,6.456,6.52,7.21
2000-05-16,6.378,6.441,6.504,7.202
2000-05-19,6.365,6.426,6.488,7.194
2000-05-21,6.351,6.412,6.473,7.186
2000-05-23,6.337,6.397,6.457,7.178
2000-05-26,6.324,6.382,6.441,7.171
2000-05-28,6.31,6.368,6.425,7.163
2000-05-30,6.296,6.353,6.41,7.155
2000-06-02,6.282,6.338,6.394,7.147
2000-06-07,6.269,6.324,6.378,7.139
