Date,Gdp Per Capita,Economic Growth Rate
30-01-2000,442.036,3.841
01-02-2000,442.036,3.841
03-02-2000,442.13,3.853
05-02-2000,442.223,3.864
07-02-2000,442.317,3.876
10-02-2000,442.411,3.888
12-02-2000,442.505,3.9
14-02-2000,442.598,3.911
16-02-2000,442.692,3.923
19-02-2000,442.692,3.923
21-02-2000,442.692,3.923
23-02-2000,442.786,3.935
25-02-2000,442.879,3.946
27-02-2000,442.973,3.958
29-02-2000,443.067,3.97
02-03-2000,443.161,3.982
04-03-2000,443.254,3.993
06-03-2000,443.348,4.005
09-03-2000,443.348,4.005
14-03-2000,443.348,4.005
19-03-2000,443.442,4.017
24-03-2000,443.535,4.028
29-03-2000,443.629,4.04
03-04-2000,443.723,4.052
08-04-2000,443.817,4.064
13-04-2000,443.91,4.075
18-04-2000,444.004,4.087
23-04-2000,444.004,4.087
25-04-2000,444.004,4.087
27-04-2000,444.098,4.099
29-04-2000,444.192,4.11
01-05-2000,444.286,4.122
03-05-2000,444.379,4.134
05-05-2000,444.473,4.146
07-05-2000,444.567,4.157
09-05-2000,444.661,4.169
12-05-2000,444.661,4.169
14-05-2000,444.661,4.169
16-05-2000,444.755,4.181
19-05-2000,444.848,4.192
21-05-2000,444.942,4.204
23-05-2000,445.036,4.216
26-05-2000,445.13,4.228
28-05-2000,445.223,4.239
30-05-2000,445.317,4.251
02-06-2000,445.317,4.251
07-06-2000,445.317,4.251
13-06-2000,445.411,4.263
19-06-2000,445.504,4.274
24-06-2000,445.598,4.286
30-06-2000,445.692,4.297
06-07-2000,445.786,4.309
11-07-2000,445.879,4.32
17-07-2000,445.973,4.332
23-07-2000,445.973,4.332
25-07-2000,445.973,4.332
27-07-2000,446.067,4.344
29-07-2000,446.16,4.355
31-07-2000,446.254,4.367
03-08-2000,446.348,4.379
05-08-2000,446.442,4.391
07-08-2000,446.535,4.402
09-08-2000,446.629,4.414
12-08-2000,446.629,4.414
15-08-2000,446.629,4.414
18-08-2000,446.723,4.426
22-08-2000,446.816,4.437
25-08-2000,446.91,4.449
29-08-2000,447.004,4.461
01-09-2000,447.098,4.473
05-09-2000,447.191,4.484
08-09-2000,447.285,4.496
12-09-2000,447.285,4.496
17-09-2000,447.285,4.496
22-09-2000,447.379,4.508
28-09-2000,447.473,4.519
03-10-2000,447.567,4.531
09-10-2000,447.66,4.543
14-10-2000,447.754,4.555
20-10-2000,447.848,4.566
