Date,Inflation Rate,Economic Growth Rate
30-01-2000,3.8,3.841
01-02-2000,3.8,3.841
03-02-2000,3.807,3.853
05-02-2000,3.814,3.864
07-02-2000,3.821,3.876
10-02-2000,3.829,3.888
12-02-2000,3.836,3.9
14-02-2000,3.843,3.911
16-02-2000,3.85,3.923
19-02-2000,3.85,3.923
21-02-2000,3.85,3.923
23-02-2000,3.857,3.935
25-02-2000,3.864,3.946
27-02-2000,3.871,3.958
29-02-2000,3.879,3.97
02-03-2000,3.886,3.982
04-03-2000,3.893,3.993
06-03-2000,3.9,4.005
09-03-2000,3.9,4.005
14-03-2000,3.9,4.005
19-03-2000,3.907,4.017
24-03-2000,3.914,4.028
29-03-2000,3.921,4.04
03-04-2000,3.929,4.052
08-04-2000,3.936,4.064
13-04-2000,3.943,4.075
18-04-2000,3.95,4.087
23-04-2000,3.95,4.087
25-04-2000,3.95,4.087
27-04-2000,3.957,4.099
29-04-2000,3.964,4.11
01-05-2000,3.971,4.122
03-05-2000,3.979,4.134
05-05-2000,3.986,4.146
07-05-2000,3.993,4.157
09-05-2000,4,4.169
12-05-2000,4,4.169
14-05-2000,4,4.169
16-05-2000,4.007,4.181
19-05-2000,4.014,4.192
21-05-2000,4.021,4.204
23-05-2000,4.029,4.216
26-05-2000,4.036,4.228
28-05-2000,4.043,4.239
30-05-2000,4.05,4.251
02-06-2000,4.05,4.251
07-06-2000,4.05,4.251
13-06-2000,4.057,4.263
19-06-2000,4.064,4.274
24-06-2000,4.071,4.286
30-06-2000,4.079,4.297
06-07-2000,4.086,4.309
11-07-2000,4.093,4.32
17-07-2000,4.1,4.332
23-07-2000,4.1,4.332
25-07-2000,4.1,4.332
27-07-2000,4.107,4.344
29-07-2000,4.114,4.355
31-07-2000,4.121,4.367
03-08-2000,4.129,4.379
05-08-2000,4.136,4.391
07-08-2000,4.143,4.402
09-08-2000,4.15,4.414
12-08-2000,4.15,4.414
15-08-2000,4.15,4.414
18-08-2000,4.157,4.426
22-08-2000,4.164,4.437
25-08-2000,4.171,4.449
29-08-2000,4.179,4.461
01-09-2000,4.186,4.473
05-09-2000,4.193,4.484
08-09-2000,4.2,4.496
12-09-2000,4.2,4.496
17-09-2000,4.2,4.496
22-09-2000,4.207,4.508
28-09-2000,4.214,4.519
03-10-2000,4.221,4.531
09-10-2000,4.229,4.543
14-10-2000,4.236,4.555
20-10-2000,4.243,4.566
25-10-2000,4.25,4.578
31-10-2000,4.25,4.578
03-11-2000,4.25,4.578
06-11-2000,4.257,4.59
10-11-2000,4.264,4.601
13-11-2000,4.271,4.613
16-11-2000,4.279,4.625
20-11-2000,4.286,4.637
23-11-2000,4.293,4.648
26-11-2000,4.3,4.66
30-11-2000,4.3,4.66
02-12-2000,4.3,4.66
04-12-2000,4.307,4.672
06-12-2000,4.314,4.683
08-12-2000,4.321,4.695
11-12-2000,4.329,4.707
13-12-2000,4.336,4.719
15-12-2000,4.343,4.73
17-12-2000,4.35,4.742
20-12-2000,4.35,4.742
24-12-2000,4.35,4.742
29-12-2000,4.357,4.754
02-01-2001,4.364,4.765
07-01-2001,4.371,4.777
11-01-2001,4.379,4.789
16-01-2001,4.386,4.801
20-01-2001,4.393,4.812
25-01-2001,4.4,4.824
30-01-2001,4.4,4.824
01-02-2001,4.4,4.739
03-02-2001,4.407,4.751
05-02-2001,4.414,4.763
07-02-2001,4.421,4.775
10-02-2001,4.429,4.788
12-02-2001,4.436,4.8
14-02-2001,4.443,4.812
16-02-2001,4.45,4.824
19-02-2001,4.45,4.739
21-02-2001,4.45,4.654
23-02-2001,4.457,4.666
25-02-2001,4.464,4.678
27-02-2001,4.471,4.69
01-03-2001,4.479,4.703
03-03-2001,4.486,4.715
05-03-2001,4.493,4.727
07-03-2001,4.5,4.739
09-03-2001,4.5,4.654
14-03-2001,4.5,4.569
19-03-2001,4.507,4.581
24-03-2001,4.514,4.593
29-03-2001,4.521,4.605
03-04-2001,4.529,4.618
08-04-2001,4.536,4.63
13-04-2001,4.543,4.642
18-04-2001,4.55,4.654
23-04-2001,4.55,4.569
25-04-2001,4.55,4.484
27-04-2001,4.557,4.496
29-04-2001,4.564,4.508
01-05-2001,4.571,4.52
03-05-2001,4.579,4.533
05-05-2001,4.586,4.545
07-05-2001,4.593,4.557
09-05-2001,4.6,4.569
12-05-2001,4.6,4.484
14-05-2001,4.6,4.399
16-05-2001,4.607,4.411
19-05-2001,4.614,4.423
21-05-2001,4.621,4.435
23-05-2001,4.629,4.448
26-05-2001,4.636,4.46
28-05-2001,4.643,4.472
30-05-2001,4.65,4.484
02-06-2001,4.65,4.399
07-06-2001,4.65,4.314
13-06-2001,4.657,4.326
19-06-2001,4.664,4.338
24-06-2001,4.671,4.35
30-06-2001,4.679,4.363
06-07-2001,4.686,4.375
11-07-2001,4.693,4.387
17-07-2001,4.7,4.399
23-07-2001,4.7,4.314
25-07-2001,4.7,4.229
27-07-2001,4.707,4.241
29-07-2001,4.714,4.253
31-07-2001,4.721,4.265
03-08-2001,4.729,4.278
05-08-2001,4.736,4.29
07-08-2001,4.743,4.302
09-08-2001,4.75,4.314
12-08-2001,4.75,4.229
15-08-2001,4.75,4.144
18-08-2001,4.757,4.156
22-08-2001,4.764,4.168
25-08-2001,4.771,4.18
29-08-2001,4.779,4.193
01-09-2001,4.786,4.205
05-09-2001,4.793,4.217
08-09-2001,4.8,4.229
12-09-2001,4.8,4.144
17-09-2001,4.8,4.059
22-09-2001,4.807,4.071
28-09-2001,4.814,4.083
03-10-2001,4.821,4.095
09-10-2001,4.829,4.108
14-10-2001,4.836,4.12
20-10-2001,4.843,4.132
25-10-2001,4.85,4.144
31-10-2001,4.85,4.059
03-11-2001,4.85,3.974
06-11-2001,4.857,3.986
10-11-2001,4.864,3.998
13-11-2001,4.871,4.01
16-11-2001,4.879,4.023
20-11-2001,4.886,4.035
23-11-2001,4.893,4.047
26-11-2001,4.9,4.059
30-11-2001,4.9,3.974
02-12-2001,4.9,3.889
04-12-2001,4.907,3.901
06-12-2001,4.914,3.913
08-12-2001,4.921,3.925
11-12-2001,4.929,3.938
13-12-2001,4.936,3.95
15-12-2001,4.943,3.962
17-12-2001,4.95,3.974
20-12-2001,4.95,3.889
24-12-2001,4.95,3.804
29-12-2001,4.957,3.816
02-01-2002,4.964,3.828
07-01-2002,4.971,3.84
11-01-2002,4.979,3.853
16-01-2002,4.986,3.865
20-01-2002,4.993,3.877
25-01-2002,5,3.889
30-01-2002,5,3.804
01-02-2002,4.925,3.804
03-02-2002,4.936,3.852
05-02-2002,4.946,3.901
07-02-2002,4.957,3.949
10-02-2002,4.968,3.997
12-02-2002,4.979,4.045
14-02-2002,4.989,4.094
16-02-2002,5,4.142
19-02-2002,4.925,4.142
21-02-2002,4.85,4.142
23-02-2002,4.861,4.19
25-02-2002,4.871,4.239
27-02-2002,4.882,4.287
01-03-2002,4.893,4.335
03-03-2002,4.904,4.383
05-03-2002,4.914,4.432
07-03-2002,4.925,4.48
09-03-2002,4.85,4.48
14-03-2002,4.775,4.48
19-03-2002,4.786,4.528
24-03-2002,4.796,4.577
29-03-2002,4.807,4.625
03-04-2002,4.818,4.673
08-04-2002,4.829,4.721
13-04-2002,4.839,4.77
18-04-2002,4.85,4.818
23-04-2002,4.775,4.818
25-04-2002,4.7,4.818
27-04-2002,4.711,4.866
29-04-2002,4.721,4.915
01-05-2002,4.732,4.963
03-05-2002,4.743,5.011
05-05-2002,4.754,5.059
07-05-2002,4.764,5.108
09-05-2002,4.775,5.156
12-05-2002,4.7,5.156
14-05-2002,4.625,5.156
16-05-2002,4.636,5.204
19-05-2002,4.646,5.253
21-05-2002,4.657,5.301
23-05-2002,4.668,5.349
26-05-2002,4.679,5.397
28-05-2002,4.689,5.446
30-05-2002,4.7,5.494
02-06-2002,4.625,5.494
07-06-2002,4.55,5.494
13-06-2002,4.561,5.542
19-06-2002,4.571,5.591
24-06-2002,4.582,5.639
30-06-2002,4.593,5.687
06-07-2002,4.604,5.735
11-07-2002,4.614,5.784
17-07-2002,4.625,5.832
23-07-2002,4.55,5.832
25-07-2002,4.475,5.832
27-07-2002,4.486,5.88
29-07-2002,4.496,5.929
31-07-2002,4.507,5.977
03-08-2002,4.518,6.025
05-08-2002,4.529,6.073
07-08-2002,4.539,6.122
09-08-2002,4.55,6.17
12-08-2002,4.475,6.17
15-08-2002,4.4,6.17
18-08-2002,4.411,6.218
22-08-2002,4.421,6.267
25-08-2002,4.432,6.315
29-08-2002,4.443,6.363
01-09-2002,4.454,6.411
05-09-2002,4.464,6.46
08-09-2002,4.475,6.508
12-09-2002,4.4,6.508
17-09-2002,4.325,6.508
22-09-2002,4.336,6.556
28-09-2002,4.346,6.605
03-10-2002,4.357,6.653
09-10-2002,4.368,6.701
14-10-2002,4.379,6.749
20-10-2002,4.389,6.798
25-10-2002,4.4,6.846
31-10-2002,4.325,6.846
03-11-2002,4.25,6.846
06-11-2002,4.261,6.894
10-11-2002,4.271,6.943
13-11-2002,4.282,6.991
16-11-2002,4.293,7.039
20-11-2002,4.304,7.087
23-11-2002,4.314,7.136
26-11-2002,4.325,7.184
30-11-2002,4.25,7.184
02-12-2002,4.175,7.184
04-12-2002,4.186,7.232
06-12-2002,4.196,7.281
08-12-2002,4.207,7.329
11-12-2002,4.218,7.377
13-12-2002,4.229,7.425
15-12-2002,4.239,7.474
17-12-2002,4.25,7.522
20-12-2002,4.175,7.522
24-12-2002,4.1,7.522
29-12-2002,4.111,7.57
02-01-2003,4.121,7.619
07-01-2003,4.132,7.667
11-01-2003,4.143,7.715
16-01-2003,4.154,7.763
20-01-2003,4.164,7.812
25-01-2003,4.175,7.86
30-01-2003,4.1,7.86
01-02-2003,4.092,7.86
03-02-2003,4.093,7.861
05-02-2003,4.094,7.861
07-02-2003,4.095,7.862
10-02-2003,4.097,7.863
12-02-2003,4.098,7.864
14-02-2003,4.099,7.864
16-02-2003,4.1,7.865
19-02-2003,4.092,7.865
21-02-2003,4.083,7.865
23-02-2003,4.084,7.866
25-02-2003,4.086,7.866
27-02-2003,4.087,7.867
01-03-2003,4.088,7.868
03-03-2003,4.089,7.869
05-03-2003,4.091,7.869
07-03-2003,4.092,7.87
09-03-2003,4.083,7.87
14-03-2003,4.075,7.87
19-03-2003,4.076,7.871
24-03-2003,4.077,7.872
29-03-2003,4.078,7.873
03-04-2003,4.08,7.873
08-04-2003,4.081,7.874
13-04-2003,4.082,7.875
18-04-2003,4.083,7.876
23-04-2003,4.075,7.876
25-04-2003,4.067,7.876
27-04-2003,4.068,7.877
29-04-2003,4.069,7.877
01-05-2003,4.07,7.878
03-05-2003,4.072,7.879
05-05-2003,4.073,7.88
07-05-2003,4.074,7.88
09-05-2003,4.075,7.881
12-05-2003,4.067,7.881
14-05-2003,4.058,7.881
16-05-2003,4.059,7.882
19-05-2003,4.061,7.882
21-05-2003,4.062,7.883
23-05-2003,4.063,7.884
26-05-2003,4.064,7.885
28-05-2003,4.066,7.885
30-05-2003,4.067,7.886
02-06-2003,4.058,7.886
07-06-2003,4.05,7.886
13-06-2003,4.051,7.887
19-06-2003,4.052,7.888
24-06-2003,4.053,7.889
30-06-2003,4.055,7.889
06-07-2003,4.056,7.89
11-07-2003,4.057,7.891
17-07-2003,4.058,7.892
23-07-2003,4.05,7.892
25-07-2003,4.042,7.892
27-07-2003,4.043,7.893
29-07-2003,4.044,7.893
31-07-2003,4.045,7.894
03-08-2003,4.047,7.895
05-08-2003,4.048,7.896
07-08-2003,4.049,7.896
09-08-2003,4.05,7.897
12-08-2003,4.042,7.897
15-08-2003,4.033,7.897
18-08-2003,4.034,7.898
22-08-2003,4.036,7.898
25-08-2003,4.037,7.899
29-08-2003,4.038,7.9
01-09-2003,4.039,7.901
05-09-2003,4.041,7.901
08-09-2003,4.042,7.902
12-09-2003,4.033,7.902
17-09-2003,4.025,7.902
22-09-2003,4.026,7.903
28-09-2003,4.027,7.903
03-10-2003,4.028,7.904
09-10-2003,4.03,7.905
14-10-2003,4.031,7.906
20-10-2003,4.032,7.906
25-10-2003,4.033,7.907
31-10-2003,4.025,7.907
03-11-2003,4.017,7.907
06-11-2003,4.018,7.908
10-11-2003,4.019,7.908
13-11-2003,4.02,7.909
16-11-2003,4.022,7.91
20-11-2003,4.023,7.911
23-11-2003,4.024,7.911
26-11-2003,4.025,7.912
30-11-2003,4.017,7.912
02-12-2003,4.008,7.912
04-12-2003,4.009,7.913
06-12-2003,4.011,7.914
08-12-2003,4.012,7.915
11-12-2003,4.013,7.915
13-12-2003,4.014,7.916
15-12-2003,4.016,7.917
17-12-2003,4.017,7.918
20-12-2003,4.008,7.918
24-12-2003,4,7.918
29-12-2003,4.001,7.919
02-01-2004,4.002,7.919
07-01-2004,4.003,7.92
11-01-2004,4.005,7.921
16-01-2004,4.006,7.922
20-01-2004,4.007,7.922
25-01-2004,4.008,7.923
30-01-2004,4,7.923
01-02-2004,3.975,7.923
03-02-2004,3.979,7.923
05-02-2004,3.982,7.923
07-02-2004,3.986,7.923
10-02-2004,3.989,7.923
12-02-2004,3.993,7.923
14-02-2004,3.996,7.923
16-02-2004,4,7.923
19-02-2004,3.975,7.923
21-02-2004,3.95,7.923
23-02-2004,3.954,7.923
25-02-2004,3.957,7.923
27-02-2004,3.961,7.923
29-02-2004,3.964,7.923
02-03-2004,3.968,7.923
