Date,Interest Rate,Economic Growth Rate
30-01-2000,8,3.841
01-02-2000,9.6,3.841
03-02-2000,9.371,3.853
05-02-2000,9.143,3.864
07-02-2000,8.914,3.876
10-02-2000,8.686,3.888
12-02-2000,8.457,3.9
14-02-2000,8.229,3.911
16-02-2000,8,3.923
19-02-2000,9.6,3.923
21-02-2000,12,3.923
23-02-2000,11.657,3.935
25-02-2000,11.314,3.946
27-02-2000,10.971,3.958
29-02-2000,10.629,3.97
02-03-2000,10.286,3.982
04-03-2000,9.943,3.993
06-03-2000,9.6,4.005
09-03-2000,12,4.005
14-03-2000,12,4.005
19-03-2000,11.857,4.017
24-03-2000,11.714,4.028
29-03-2000,11.571,4.04
03-04-2000,11.429,4.052
08-04-2000,11.286,4.064
13-04-2000,11.143,4.075
18-04-2000,11,4.087
23-04-2000,11,4.087
25-04-2000,11,4.087
27-04-2000,10.786,4.099
29-04-2000,10.571,4.11
01-05-2000,10.357,4.122
03-05-2000,10.143,4.134
05-05-2000,9.929,4.146
07-05-2000,9.714,4.157
09-05-2000,9.5,4.169
12-05-2000,9.5,4.169
14-05-2000,9.5,4.169
16-05-2000,9.464,4.181
19-05-2000,9.429,4.192
21-05-2000,9.393,4.204
23-05-2000,9.357,4.216
26-05-2000,9.321,4.228
28-05-2000,9.286,4.239
30-05-2000,9.25,4.251
02-06-2000,9.25,4.251
07-06-2000,9.25,4.251
13-06-2000,9.229,4.263
19-06-2000,9.207,4.274
24-06-2000,9.186,4.286
30-06-2000,9.164,4.297
06-07-2000,9.143,4.309
11-07-2000,9.121,4.32
17-07-2000,9.1,4.332
23-07-2000,9.1,4.332
25-07-2000,9.1,4.332
27-07-2000,9.086,4.344
29-07-2000,9.071,4.355
31-07-2000,9.057,4.367
03-08-2000,9.043,4.379
05-08-2000,9.029,4.391
07-08-2000,9.014,4.402
09-08-2000,9,4.414
12-08-2000,9,4.414
15-08-2000,9,4.414
18-08-2000,8.964,4.426
22-08-2000,8.929,4.437
25-08-2000,8.893,4.449
29-08-2000,8.857,4.461
01-09-2000,8.821,4.473
05-09-2000,8.786,4.484
08-09-2000,8.75,4.496
12-09-2000,8.75,4.496
17-09-2000,8.75,4.496
22-09-2000,8.679,4.508
28-09-2000,8.607,4.519
03-10-2000,8.536,4.531
09-10-2000,8.464,4.543
14-10-2000,8.393,4.555
20-10-2000,8.321,4.566
25-10-2000,8.25,4.578
31-10-2000,8.25,4.578
03-11-2000,8.25,4.578
06-11-2000,8.214,4.59
10-11-2000,8.179,4.601
13-11-2000,8.143,4.613
16-11-2000,8.107,4.625
20-11-2000,8.071,4.637
23-11-2000,8.036,4.648
26-11-2000,8,4.66
30-11-2000,8,4.66
02-12-2000,8,4.66
04-12-2000,8,4.672
06-12-2000,8,4.683
08-12-2000,8,4.695
11-12-2000,8,4.707
13-12-2000,8,4.719
15-12-2000,8,4.73
17-12-2000,8,4.742
20-12-2000,8,4.742
24-12-2000,8,4.742
29-12-2000,8,4.754
02-01-2001,8,4.765
07-01-2001,8,4.777
11-01-2001,8,4.789
16-01-2001,8,4.801
20-01-2001,8,4.812
25-01-2001,8,4.824
30-01-2001,8,4.824
01-02-2001,8,4.739
03-02-2001,7.929,4.751
05-02-2001,7.857,4.763
07-02-2001,7.786,4.775
10-02-2001,7.714,4.788
12-02-2001,7.643,4.8
14-02-2001,7.571,4.812
16-02-2001,7.5,4.824
19-02-2001,7.5,4.739
21-02-2001,7.5,4.654
23-02-2001,7.429,4.666
25-02-2001,7.357,4.678
27-02-2001,7.286,4.69
01-03-2001,7.214,4.703
03-03-2001,7.143,4.715
05-03-2001,7.071,4.727
07-03-2001,7,4.739
09-03-2001,7,4.654
14-03-2001,7,4.569
19-03-2001,6.964,4.581
24-03-2001,6.929,4.593
29-03-2001,6.893,4.605
03-04-2001,6.857,4.618
08-04-2001,6.821,4.63
13-04-2001,6.786,4.642
18-04-2001,6.75,4.654
23-04-2001,6.75,4.569
25-04-2001,6.75,4.484
27-04-2001,6.75,4.496
29-04-2001,6.75,4.508
01-05-2001,6.75,4.52
03-05-2001,6.75,4.533
05-05-2001,6.75,4.545
07-05-2001,6.75,4.557
09-05-2001,6.75,4.569
12-05-2001,6.75,4.484
14-05-2001,6.75,4.399
16-05-2001,6.714,4.411
19-05-2001,6.679,4.423
21-05-2001,6.643,4.435
23-05-2001,6.607,4.448
26-05-2001,6.571,4.46
28-05-2001,6.536,4.472
30-05-2001,6.5,4.484
02-06-2001,6.5,4.399
07-06-2001,6.5,4.314
13-06-2001,6.5,4.326
19-06-2001,6.5,4.338
24-06-2001,6.5,4.35
30-06-2001,6.5,4.363
06-07-2001,6.5,4.375
11-07-2001,6.5,4.387
17-07-2001,6.5,4.399
23-07-2001,6.5,4.314
25-07-2001,6.5,4.229
27-07-2001,6.5,4.241
29-07-2001,6.5,4.253
31-07-2001,6.5,4.265
03-08-2001,6.5,4.278
05-08-2001,6.5,4.29
07-08-2001,6.5,4.302
09-08-2001,6.5,4.314
12-08-2001,6.5,4.229
15-08-2001,6.5,4.144
18-08-2001,6.5,4.156
22-08-2001,6.5,4.168
25-08-2001,6.5,4.18
29-08-2001,6.5,4.193
01-09-2001,6.5,4.205
05-09-2001,6.5,4.217
08-09-2001,6.5,4.229
12-09-2001,6.5,4.144
17-09-2001,6.5,4.059
22-09-2001,6.5,4.071
28-09-2001,6.5,4.083
03-10-2001,6.5,4.095
09-10-2001,6.5,4.108
14-10-2001,6.5,4.12
20-10-2001,6.5,4.132
25-10-2001,6.5,4.144
31-10-2001,6.5,4.059
03-11-2001,6.5,3.974
06-11-2001,6.5,3.986
10-11-2001,6.5,3.998
13-11-2001,6.5,4.01
16-11-2001,6.5,4.023
20-11-2001,6.5,4.035
23-11-2001,6.5,4.047
26-11-2001,6.5,4.059
