Date,Average,Gdp Per Capita
30-01-2000,8,442.036
01-02-2000,9.6,442.036
03-02-2000,9.371,442.13
05-02-2000,9.143,442.223
07-02-2000,8.914,442.317
10-02-2000,8.686,442.411
12-02-2000,8.457,442.505
14-02-2000,8.229,442.598
16-02-2000,8,442.692
19-02-2000,9.6,442.692
21-02-2000,12,442.692
23-02-2000,11.657,442.786
25-02-2000,11.314,442.879
27-02-2000,10.971,442.973
29-02-2000,10.629,443.067
02-03-2000,10.286,443.161
04-03-2000,9.943,443.254
06-03-2000,9.6,443.348
09-03-2000,12,443.348
14-03-2000,12,443.348
19-03-2000,11.857,443.442
24-03-2000,11.714,443.535
29-03-2000,11.571,443.629
03-04-2000,11.429,443.723
08-04-2000,11.286,443.817
13-04-2000,11.143,443.91
18-04-2000,11,444.004
23-04-2000,11,444.004
25-04-2000,11,444.004
27-04-2000,10.786,444.098
29-04-2000,10.571,444.192
01-05-2000,10.357,444.286
03-05-2000,10.143,444.379
05-05-2000,9.929,444.473
07-05-2000,9.714,444.567
09-05-2000,9.5,444.661
12-05-2000,9.5,444.661
14-05-2000,9.5,444.661
16-05-2000,9.464,444.755
19-05-2000,9.429,444.848
21-05-2000,9.393,444.942
23-05-2000,9.357,445.036
26-05-2000,9.321,445.13
28-05-2000,9.286,445.223
30-05-2000,9.25,445.317
02-06-2000,9.25,445.317
07-06-2000,9.25,445.317
13-06-2000,9.229,445.411
19-06-2000,9.207,445.504
24-06-2000,9.186,445.598
30-06-2000,9.164,445.692
06-07-2000,9.143,445.786
11-07-2000,9.121,445.879
17-07-2000,9.1,445.973
23-07-2000,9.1,445.973
25-07-2000,9.1,445.973
27-07-2000,9.086,446.067
29-07-2000,9.071,446.16
31-07-2000,9.057,446.254
03-08-2000,9.043,446.348
05-08-2000,9.029,446.442
07-08-2000,9.014,446.535
09-08-2000,9,446.629
12-08-2000,9,446.629
15-08-2000,9,446.629
18-08-2000,8.964,446.723
22-08-2000,8.929,446.816
25-08-2000,8.893,446.91
29-08-2000,8.857,447.004
01-09-2000,8.821,447.098
05-09-2000,8.786,447.191
08-09-2000,8.75,447.285
12-09-2000,8.75,447.285
17-09-2000,8.75,447.285
22-09-2000,8.679,447.379
28-09-2000,8.607,447.473
03-10-2000,8.536,447.567
09-10-2000,8.464,447.66
14-10-2000,8.393,447.754
20-10-2000,8.321,447.848
25-10-2000,8.25,447.942
31-10-2000,8.25,447.942
03-11-2000,8.25,447.942
06-11-2000,8.214,448.036
10-11-2000,8.179,448.129
13-11-2000,8.143,448.223
16-11-2000,8.107,448.317
20-11-2000,8.071,448.411
23-11-2000,8.036,448.504
26-11-2000,8,448.598
30-11-2000,8,448.598
02-12-2000,8,448.598
04-12-2000,8,448.692
06-12-2000,8,448.785
08-12-2000,8,448.879
11-12-2000,8,448.973
13-12-2000,8,449.067
15-12-2000,8,449.16
17-12-2000,8,449.254
20-12-2000,8,449.254
24-12-2000,8,449.254
29-12-2000,8,449.348
02-01-2001,8,449.441
07-01-2001,8,449.535
11-01-2001,8,449.629
16-01-2001,8,449.723
20-01-2001,8,449.816
25-01-2001,8,449.91
30-01-2001,8,449.91
01-02-2001,8,449.91
03-02-2001,7.929,450.135
05-02-2001,7.857,450.361
07-02-2001,7.786,450.586
10-02-2001,7.714,450.812
12-02-2001,7.643,451.037
14-02-2001,7.571,451.263
16-02-2001,7.5,451.488
19-02-2001,7.5,451.488
21-02-2001,7.5,451.488
23-02-2001,7.429,451.713
25-02-2001,7.357,451.939
27-02-2001,7.286,452.164
01-03-2001,7.214,452.39
03-03-2001,7.143,452.615
05-03-2001,7.071,452.841
07-03-2001,7,453.066
09-03-2001,7,453.066
14-03-2001,7,453.066
19-03-2001,6.964,453.291
24-03-2001,6.929,453.517
29-03-2001,6.893,453.742
03-04-2001,6.857,453.968
08-04-2001,6.821,454.193
13-04-2001,6.786,454.419
18-04-2001,6.75,454.644
23-04-2001,6.75,454.644
25-04-2001,6.75,454.644
27-04-2001,6.75,454.869
29-04-2001,6.75,455.095
01-05-2001,6.75,455.32
03-05-2001,6.75,455.546
05-05-2001,6.75,455.771
07-05-2001,6.75,455.997
09-05-2001,6.75,456.222
12-05-2001,6.75,456.222
14-05-2001,6.75,456.222
16-05-2001,6.714,456.447
19-05-2001,6.679,456.673
21-05-2001,6.643,456.898
23-05-2001,6.607,457.124
26-05-2001,6.571,457.349
28-05-2001,6.536,457.575
30-05-2001,6.5,457.8
02-06-2001,6.5,457.8
07-06-2001,6.5,457.8
13-06-2001,6.5,458.025
19-06-2001,6.5,458.251
24-06-2001,6.5,458.476
30-06-2001,6.5,458.702
06-07-2001,6.5,458.927
11-07-2001,6.5,459.153
17-07-2001,6.5,459.378
23-07-2001,6.5,459.378
25-07-2001,6.5,459.378
27-07-2001,6.5,459.603
29-07-2001,6.5,459.829
31-07-2001,6.5,460.054
03-08-2001,6.5,460.279
05-08-2001,6.5,460.504
07-08-2001,6.5,460.73
09-08-2001,6.5,460.955
12-08-2001,6.5,460.955
15-08-2001,6.5,460.955
18-08-2001,6.5,461.18
22-08-2001,6.5,461.406
25-08-2001,6.5,461.631
29-08-2001,6.5,461.857
01-09-2001,6.5,462.082
05-09-2001,6.5,462.308
08-09-2001,6.5,462.533
12-09-2001,6.5,462.533
17-09-2001,6.5,462.533
22-09-2001,6.5,462.758
28-09-2001,6.5,462.984
03-10-2001,6.5,463.209
09-10-2001,6.5,463.435
14-10-2001,6.5,463.66
20-10-2001,6.5,463.886
25-10-2001,6.5,464.111
31-10-2001,6.5,464.111
03-11-2001,6.5,464.111
06-11-2001,6.5,464.336
10-11-2001,6.5,464.562
13-11-2001,6.5,464.787
16-11-2001,6.5,465.013
20-11-2001,6.5,465.238
23-11-2001,6.5,465.464
26-11-2001,6.5,465.689
30-11-2001,6.5,465.689
02-12-2001,6.5,465.689
04-12-2001,6.5,465.914
06-12-2001,6.5,466.14
08-12-2001,6.5,466.365
11-12-2001,6.5,466.591
13-12-2001,6.5,466.816
15-12-2001,6.5,467.042
17-12-2001,6.5,467.267
20-12-2001,6.5,467.267
24-12-2001,6.5,467.267
29-12-2001,6.5,467.492
02-01-2002,6.5,467.718
07-01-2002,6.5,467.943
11-01-2002,6.5,468.169
16-01-2002,6.5,468.394
20-01-2002,6.5,468.62
25-01-2002,6.5,468.845
30-01-2002,6.5,468.845
01-02-2002,6.5,468.845
03-02-2002,6.5,469.738
05-02-2002,6.5,470.631
07-02-2002,6.5,471.524
10-02-2002,6.5,472.416
12-02-2002,6.5,473.309
14-02-2002,6.5,474.202
16-02-2002,6.5,475.095
19-02-2002,6.5,475.095
21-02-2002,6.5,475.095
23-02-2002,6.429,475.988
25-02-2002,6.357,476.881
27-02-2002,6.286,477.774
01-03-2002,6.214,478.666
03-03-2002,6.143,479.559
05-03-2002,6.071,480.452
07-03-2002,6,481.345
09-03-2002,6,481.345
14-03-2002,6,481.345
19-03-2002,6,482.238
24-03-2002,6,483.131
29-03-2002,6,484.024
03-04-2002,6,484.916
08-04-2002,6,485.809
13-04-2002,6,486.702
18-04-2002,6,487.595
23-04-2002,6,487.595
25-04-2002,6,487.595
27-04-2002,6,488.488
29-04-2002,6,489.381
01-05-2002,6,490.274
03-05-2002,6,491.166
05-05-2002,6,492.059
07-05-2002,6,492.952
09-05-2002,6,493.845
12-05-2002,6,493.845
14-05-2002,6,493.845
16-05-2002,5.964,494.738
19-05-2002,5.929,495.631
21-05-2002,5.893,496.524
23-05-2002,5.857,497.416
26-05-2002,5.821,498.309
28-05-2002,5.786,499.202
30-05-2002,5.75,500.095
02-06-2002,5.75,500.095
07-06-2002,5.75,500.095
13-06-2002,5.75,500.988
19-06-2002,5.75,501.881
24-06-2002,5.75,502.774
30-06-2002,5.75,503.666
06-07-2002,5.75,504.559
11-07-2002,5.75,505.452
17-07-2002,5.75,506.345
23-07-2002,5.75,506.345
25-07-2002,5.75,506.345
27-07-2002,5.75,507.238
29-07-2002,5.75,508.131
31-07-2002,5.75,509.024
03-08-2002,5.75,509.916
05-08-2002,5.75,510.809
07-08-2002,5.75,511.702
09-08-2002,5.75,512.595
12-08-2002,5.75,512.595
15-08-2002,5.75,512.595
18-08-2002,5.75,513.488
22-08-2002,5.75,514.381
25-08-2002,5.75,515.274
29-08-2002,5.75,516.166
01-09-2002,5.75,517.059
05-09-2002,5.75,517.952
08-09-2002,5.75,518.845
12-09-2002,5.75,518.845
17-09-2002,5.75,518.845
22-09-2002,5.75,519.738
28-09-2002,5.75,520.631
03-10-2002,5.75,521.524
09-10-2002,5.75,522.416
14-10-2002,5.75,523.309
20-10-2002,5.75,524.202
25-10-2002,5.75,525.095
31-10-2002,5.75,525.095
03-11-2002,5.75,525.095
06-11-2002,5.714,525.988
10-11-2002,5.679,526.881
13-11-2002,5.643,527.774
16-11-2002,5.607,528.666
20-11-2002,5.571,529.559
23-11-2002,5.536,530.452
26-11-2002,5.5,531.345
30-11-2002,5.5,531.345
02-12-2002,5.5,531.345
04-12-2002,5.5,532.238
06-12-2002,5.5,533.131
08-12-2002,5.5,534.024
11-12-2002,5.5,534.916
13-12-2002,5.5,535.809
15-12-2002,5.5,536.702
17-12-2002,5.5,537.595
20-12-2002,5.5,537.595
24-12-2002,5.5,537.595
29-12-2002,5.5,538.488
