Date,Average,Inflation Rate
30-01-2000,8,3.8
01-02-2000,9.6,3.8
03-02-2000,9.371,3.807
05-02-2000,9.143,3.814
07-02-2000,8.914,3.821
10-02-2000,8.686,3.829
12-02-2000,8.457,3.836
14-02-2000,8.229,3.843
16-02-2000,8,3.85
19-02-2000,9.6,3.85
21-02-2000,12,3.85
23-02-2000,11.657,3.857
25-02-2000,11.314,3.864
27-02-2000,10.971,3.871
29-02-2000,10.629,3.879
02-03-2000,10.286,3.886
04-03-2000,9.943,3.893
06-03-2000,9.6,3.9
09-03-2000,12,3.9
14-03-2000,12,3.9
19-03-2000,11.857,3.907
24-03-2000,11.714,3.914
29-03-2000,11.571,3.921
03-04-2000,11.429,3.929
08-04-2000,11.286,3.936
13-04-2000,11.143,3.943
18-04-2000,11,3.95
23-04-2000,11,3.95
25-04-2000,11,3.95
27-04-2000,10.786,3.957
29-04-2000,10.571,3.964
01-05-2000,10.357,3.971
03-05-2000,10.143,3.979
05-05-2000,9.929,3.986
07-05-2000,9.714,3.993
09-05-2000,9.5,4
12-05-2000,9.5,4
14-05-2000,9.5,4
16-05-2000,9.464,4.007
19-05-2000,9.429,4.014
21-05-2000,9.393,4.021
23-05-2000,9.357,4.029
26-05-2000,9.321,4.036
28-05-2000,9.286,4.043
30-05-2000,9.25,4.05
02-06-2000,9.25,4.05
07-06-2000,9.25,4.05
13-06-2000,9.229,4.057
19-06-2000,9.207,4.064
24-06-2000,9.186,4.071
30-06-2000,9.164,4.079
06-07-2000,9.143,4.086
11-07-2000,9.121,4.093
17-07-2000,9.1,4.1
23-07-2000,9.1,4.1
25-07-2000,9.1,4.1
27-07-2000,9.086,4.107
29-07-2000,9.071,4.114
31-07-2000,9.057,4.121
03-08-2000,9.043,4.129
05-08-2000,9.029,4.136
07-08-2000,9.014,4.143
09-08-2000,9,4.15
12-08-2000,9,4.15
15-08-2000,9,4.15
18-08-2000,8.964,4.157
22-08-2000,8.929,4.164
25-08-2000,8.893,4.171
29-08-2000,8.857,4.179
01-09-2000,8.821,4.186
05-09-2000,8.786,4.193
08-09-2000,8.75,4.2
12-09-2000,8.75,4.2
17-09-2000,8.75,4.2
22-09-2000,8.679,4.207
28-09-2000,8.607,4.214
03-10-2000,8.536,4.221
09-10-2000,8.464,4.229
14-10-2000,8.393,4.236
20-10-2000,8.321,4.243
25-10-2000,8.25,4.25
31-10-2000,8.25,4.25
03-11-2000,8.25,4.25
06-11-2000,8.214,4.257
10-11-2000,8.179,4.264
13-11-2000,8.143,4.271
16-11-2000,8.107,4.279
20-11-2000,8.071,4.286
23-11-2000,8.036,4.293
26-11-2000,8,4.3
30-11-2000,8,4.3
02-12-2000,8,4.3
04-12-2000,8,4.307
06-12-2000,8,4.314
08-12-2000,8,4.321
11-12-2000,8,4.329
13-12-2000,8,4.336
15-12-2000,8,4.343
17-12-2000,8,4.35
20-12-2000,8,4.35
24-12-2000,8,4.35
29-12-2000,8,4.357
02-01-2001,8,4.364
07-01-2001,8,4.371
11-01-2001,8,4.379
16-01-2001,8,4.386
20-01-2001,8,4.393
25-01-2001,8,4.4
30-01-2001,8,4.4
01-02-2001,8,4.4
03-02-2001,7.929,4.407
05-02-2001,7.857,4.414
07-02-2001,7.786,4.421
10-02-2001,7.714,4.429
12-02-2001,7.643,4.436
14-02-2001,7.571,4.443
16-02-2001,7.5,4.45
19-02-2001,7.5,4.45
21-02-2001,7.5,4.45
23-02-2001,7.429,4.457
25-02-2001,7.357,4.464
27-02-2001,7.286,4.471
01-03-2001,7.214,4.479
03-03-2001,7.143,4.486
05-03-2001,7.071,4.493
07-03-2001,7,4.5
09-03-2001,7,4.5
14-03-2001,7,4.5
19-03-2001,6.964,4.507
24-03-2001,6.929,4.514
29-03-2001,6.893,4.521
03-04-2001,6.857,4.529
08-04-2001,6.821,4.536
13-04-2001,6.786,4.543
18-04-2001,6.75,4.55
23-04-2001,6.75,4.55
25-04-2001,6.75,4.55
27-04-2001,6.75,4.557
29-04-2001,6.75,4.564
01-05-2001,6.75,4.571
03-05-2001,6.75,4.579
05-05-2001,6.75,4.586
07-05-2001,6.75,4.593
09-05-2001,6.75,4.6
12-05-2001,6.75,4.6
14-05-2001,6.75,4.6
16-05-2001,6.714,4.607
19-05-2001,6.679,4.614
21-05-2001,6.643,4.621
23-05-2001,6.607,4.629
26-05-2001,6.571,4.636
28-05-2001,6.536,4.643
30-05-2001,6.5,4.65
02-06-2001,6.5,4.65
07-06-2001,6.5,4.65
13-06-2001,6.5,4.657
19-06-2001,6.5,4.664
24-06-2001,6.5,4.671
30-06-2001,6.5,4.679
06-07-2001,6.5,4.686
11-07-2001,6.5,4.693
17-07-2001,6.5,4.7
23-07-2001,6.5,4.7
25-07-2001,6.5,4.7
27-07-2001,6.5,4.707
29-07-2001,6.5,4.714
31-07-2001,6.5,4.721
03-08-2001,6.5,4.729
05-08-2001,6.5,4.736
07-08-2001,6.5,4.743
09-08-2001,6.5,4.75
12-08-2001,6.5,4.75
15-08-2001,6.5,4.75
18-08-2001,6.5,4.757
22-08-2001,6.5,4.764
25-08-2001,6.5,4.771
29-08-2001,6.5,4.779
01-09-2001,6.5,4.786
05-09-2001,6.5,4.793
08-09-2001,6.5,4.8
12-09-2001,6.5,4.8
17-09-2001,6.5,4.8
22-09-2001,6.5,4.807
28-09-2001,6.5,4.814
03-10-2001,6.5,4.821
09-10-2001,6.5,4.829
14-10-2001,6.5,4.836
20-10-2001,6.5,4.843
25-10-2001,6.5,4.85
31-10-2001,6.5,4.85
03-11-2001,6.5,4.85
06-11-2001,6.5,4.857
10-11-2001,6.5,4.864
13-11-2001,6.5,4.871
16-11-2001,6.5,4.879
20-11-2001,6.5,4.886
23-11-2001,6.5,4.893
26-11-2001,6.5,4.9
30-11-2001,6.5,4.9
02-12-2001,6.5,4.9
04-12-2001,6.5,4.907
06-12-2001,6.5,4.914
08-12-2001,6.5,4.921
11-12-2001,6.5,4.929
13-12-2001,6.5,4.936
15-12-2001,6.5,4.943
17-12-2001,6.5,4.95
20-12-2001,6.5,4.95
24-12-2001,6.5,4.95
29-12-2001,6.5,4.957
02-01-2002,6.5,4.964
07-01-2002,6.5,4.971
11-01-2002,6.5,4.979
16-01-2002,6.5,4.986
20-01-2002,6.5,4.993
25-01-2002,6.5,5
30-01-2002,6.5,5
01-02-2002,6.5,4.925
03-02-2002,6.5,4.936
05-02-2002,6.5,4.946
07-02-2002,6.5,4.957
10-02-2002,6.5,4.968
12-02-2002,6.5,4.979
14-02-2002,6.5,4.989
16-02-2002,6.5,5
19-02-2002,6.5,4.925
21-02-2002,6.5,4.85
23-02-2002,6.429,4.861
25-02-2002,6.357,4.871
27-02-2002,6.286,4.882
01-03-2002,6.214,4.893
03-03-2002,6.143,4.904
05-03-2002,6.071,4.914
07-03-2002,6,4.925
09-03-2002,6,4.85
14-03-2002,6,4.775
19-03-2002,6,4.786
24-03-2002,6,4.796
29-03-2002,6,4.807
03-04-2002,6,4.818
08-04-2002,6,4.829
13-04-2002,6,4.839
18-04-2002,6,4.85
23-04-2002,6,4.775
25-04-2002,6,4.7
27-04-2002,6,4.711
29-04-2002,6,4.721
01-05-2002,6,4.732
03-05-2002,6,4.743
05-05-2002,6,4.754
07-05-2002,6,4.764
09-05-2002,6,4.775
12-05-2002,6,4.7
14-05-2002,6,4.625
16-05-2002,5.964,4.636
19-05-2002,5.929,4.646
21-05-2002,5.893,4.657
23-05-2002,5.857,4.668
26-05-2002,5.821,4.679
28-05-2002,5.786,4.689
30-05-2002,5.75,4.7
02-06-2002,5.75,4.625
07-06-2002,5.75,4.55
13-06-2002,5.75,4.561
19-06-2002,5.75,4.571
24-06-2002,5.75,4.582
30-06-2002,5.75,4.593
06-07-2002,5.75,4.604
11-07-2002,5.75,4.614
17-07-2002,5.75,4.625
23-07-2002,5.75,4.55
25-07-2002,5.75,4.475
27-07-2002,5.75,4.486
29-07-2002,5.75,4.496
31-07-2002,5.75,4.507
03-08-2002,5.75,4.518
05-08-2002,5.75,4.529
07-08-2002,5.75,4.539
09-08-2002,5.75,4.55
12-08-2002,5.75,4.475
15-08-2002,5.75,4.4
18-08-2002,5.75,4.411
22-08-2002,5.75,4.421
25-08-2002,5.75,4.432
29-08-2002,5.75,4.443
01-09-2002,5.75,4.454
05-09-2002,5.75,4.464
08-09-2002,5.75,4.475
12-09-2002,5.75,4.4
17-09-2002,5.75,4.325
22-09-2002,5.75,4.336
28-09-2002,5.75,4.346
03-10-2002,5.75,4.357
09-10-2002,5.75,4.368
14-10-2002,5.75,4.379
20-10-2002,5.75,4.389
25-10-2002,5.75,4.4
31-10-2002,5.75,4.325
03-11-2002,5.75,4.25
06-11-2002,5.714,4.261
10-11-2002,5.679,4.271
13-11-2002,5.643,4.282
16-11-2002,5.607,4.293
20-11-2002,5.571,4.304
23-11-2002,5.536,4.314
26-11-2002,5.5,4.325
30-11-2002,5.5,4.25
02-12-2002,5.5,4.175
04-12-2002,5.5,4.186
06-12-2002,5.5,4.196
08-12-2002,5.5,4.207
11-12-2002,5.5,4.218
13-12-2002,5.5,4.229
15-12-2002,5.5,4.239
17-12-2002,5.5,4.25
20-12-2002,5.5,4.175
24-12-2002,5.5,4.1
29-12-2002,5.5,4.111
02-01-2003,5.5,4.121
07-01-2003,5.5,4.132
11-01-2003,5.5,4.143
16-01-2003,5.5,4.154
20-01-2003,5.5,4.164
25-01-2003,5.5,4.175
30-01-2003,5.5,4.1
01-02-2003,5.5,4.092
03-02-2003,5.5,4.093
05-02-2003,5.5,4.094
07-02-2003,5.5,4.095
10-02-2003,5.5,4.097
12-02-2003,5.5,4.098
14-02-2003,5.5,4.099
16-02-2003,5.5,4.1
19-02-2003,5.5,4.092
21-02-2003,5.5,4.083
23-02-2003,5.429,4.084
25-02-2003,5.357,4.086
27-02-2003,5.286,4.087
01-03-2003,5.214,4.088
03-03-2003,5.143,4.089
05-03-2003,5.071,4.091
07-03-2003,5,4.092
09-03-2003,5,4.083
14-03-2003,5,4.075
19-03-2003,5,4.076
24-03-2003,5,4.077
29-03-2003,5,4.078
03-04-2003,5,4.08
08-04-2003,5,4.081
13-04-2003,5,4.082
18-04-2003,5,4.083
23-04-2003,5,4.075
25-04-2003,5,4.067
27-04-2003,5,4.068
29-04-2003,5,4.069
01-05-2003,5,4.07
03-05-2003,5,4.072
05-05-2003,5,4.073
07-05-2003,5,4.074
09-05-2003,5,4.075
12-05-2003,5,4.067
14-05-2003,5,4.058
16-05-2003,5,4.059
19-05-2003,5,4.061
21-05-2003,5,4.062
23-05-2003,5,4.063
26-05-2003,5,4.064
28-05-2003,5,4.066
30-05-2003,5,4.067
02-06-2003,5,4.058
07-06-2003,5,4.05
13-06-2003,5,4.051
19-06-2003,5,4.052
24-06-2003,5,4.053
30-06-2003,5,4.055
06-07-2003,5,4.056
11-07-2003,5,4.057
17-07-2003,5,4.058
23-07-2003,5,4.05
25-07-2003,5,4.042
27-07-2003,4.929,4.043
29-07-2003,4.857,4.044
31-07-2003,4.786,4.045
03-08-2003,4.714,4.047
05-08-2003,4.643,4.048
07-08-2003,4.571,4.049
09-08-2003,4.5,4.05
12-08-2003,4.5,4.042
15-08-2003,4.5,4.033
18-08-2003,4.5,4.034
22-08-2003,4.5,4.036
25-08-2003,4.5,4.037
29-08-2003,4.5,4.038
01-09-2003,4.5,4.039
05-09-2003,4.5,4.041
08-09-2003,4.5,4.042
12-09-2003,4.5,4.033
17-09-2003,4.5,4.025
22-09-2003,4.5,4.026
28-09-2003,4.5,4.027
03-10-2003,4.5,4.028
09-10-2003,4.5,4.03
14-10-2003,4.5,4.031
20-10-2003,4.5,4.032
25-10-2003,4.5,4.033
31-10-2003,4.5,4.025
03-11-2003,4.5,4.017
06-11-2003,4.5,4.018
10-11-2003,4.5,4.019
13-11-2003,4.5,4.02
16-11-2003,4.5,4.022
20-11-2003,4.5,4.023
23-11-2003,4.5,4.024
26-11-2003,4.5,4.025
30-11-2003,4.5,4.017
02-12-2003,4.5,4.008
04-12-2003,4.5,4.009
06-12-2003,4.5,4.011
08-12-2003,4.5,4.012
11-12-2003,4.5,4.013
13-12-2003,4.5,4.014
15-12-2003,4.5,4.016
17-12-2003,4.5,4.017
20-12-2003,4.5,4.008
24-12-2003,4.5,4
29-12-2003,4.5,4.001
02-01-2004,4.5,4.002
07-01-2004,4.5,4.003
11-01-2004,4.5,4.005
16-01-2004,4.5,4.006
20-01-2004,4.5,4.007
25-01-2004,4.5,4.008
30-01-2004,4.5,4
01-02-2004,4.5,3.975
03-02-2004,4.5,3.979
05-02-2004,4.5,3.982
07-02-2004,4.5,3.986
10-02-2004,4.5,3.989
12-02-2004,4.5,3.993
14-02-2004,4.5,3.996
16-02-2004,4.5,4
19-02-2004,4.5,3.975
21-02-2004,4.5,3.95
23-02-2004,4.5,3.954
25-02-2004,4.5,3.957
27-02-2004,4.5,3.961
29-02-2004,4.5,3.964
02-03-2004,4.5,3.968
04-03-2004,4.5,3.971
06-03-2004,4.5,3.975
09-03-2004,4.5,3.95
14-03-2004,4.5,3.925
19-03-2004,4.5,3.929
24-03-2004,4.5,3.932
29-03-2004,4.5,3.936
03-04-2004,4.5,3.939
08-04-2004,4.5,3.943
13-04-2004,4.5,3.946
18-04-2004,4.5,3.95
23-04-2004,4.5,3.925
25-04-2004,4.5,3.9
27-04-2004,4.5,3.904
29-04-2004,4.5,3.907
01-05-2004,4.5,3.911
03-05-2004,4.5,3.914
05-05-2004,4.5,3.918
07-05-2004,4.5,3.921
09-05-2004,4.5,3.925
12-05-2004,4.5,3.9
14-05-2004,4.5,3.875
16-05-2004,4.5,3.879
19-05-2004,4.5,3.882
21-05-2004,4.5,3.886
23-05-2004,4.5,3.889
26-05-2004,4.5,3.893
28-05-2004,4.5,3.896
30-05-2004,4.5,3.9
02-06-2004,4.5,3.875
07-06-2004,4.5,3.85
13-06-2004,4.5,3.854
19-06-2004,4.5,3.857
24-06-2004,4.5,3.861
30-06-2004,4.5,3.864
06-07-2004,4.5,3.868
11-07-2004,4.5,3.871
17-07-2004,4.5,3.875
23-07-2004,4.5,3.85
25-07-2004,4.5,3.825
27-07-2004,4.5,3.829
29-07-2004,4.5,3.832
31-07-2004,4.5,3.836
03-08-2004,4.5,3.839
05-08-2004,4.5,3.843
07-08-2004,4.5,3.846
09-08-2004,4.5,3.85
12-08-2004,4.5,3.825
15-08-2004,4.5,3.8
18-08-2004,4.5,3.804
22-08-2004,4.5,3.807
25-08-2004,4.5,3.811
29-08-2004,4.5,3.814
01-09-2004,4.5,3.818
05-09-2004,4.5,3.821
08-09-2004,4.5,3.825
12-09-2004,4.5,3.8
17-09-2004,4.75,3.775
22-09-2004,4.714,3.779
28-09-2004,4.679,3.782
03-10-2004,4.643,3.786
09-10-2004,4.607,3.789
14-10-2004,4.571,3.793
20-10-2004,4.536,3.796
25-10-2004,4.5,3.8
31-10-2004,4.75,3.775
03-11-2004,6,3.75
06-11-2004,5.821,3.754
10-11-2004,5.643,3.757
13-11-2004,5.464,3.761
16-11-2004,5.286,3.764
20-11-2004,5.107,3.768
23-11-2004,4.929,3.771
26-11-2004,4.75,3.775
30-11-2004,6,3.75
02-12-2004,6,3.725
04-12-2004,6,3.729
06-12-2004,6,3.732
08-12-2004,6,3.736
11-12-2004,6,3.739
13-12-2004,6,3.743
15-12-2004,6,3.746
17-12-2004,6,3.75
20-12-2004,6,3.725
24-12-2004,6,3.7
29-12-2004,6,3.704
02-01-2005,6,3.707
07-01-2005,6,3.711
11-01-2005,6,3.714
16-01-2005,6,3.718
20-01-2005,6,3.721
25-01-2005,6,3.725
30-01-2005,6,3.7
01-02-2005,6,3.7
03-02-2005,6,3.736
05-02-2005,6,3.771
07-02-2005,6,3.807
10-02-2005,6,3.843
12-02-2005,6,3.879
14-02-2005,6,3.914
16-02-2005,6,3.95
19-02-2005,6,3.95
21-02-2005,6,3.95
23-02-2005,6,3.986
25-02-2005,6,4.021
27-02-2005,6,4.057
01-03-2005,6,4.093
03-03-2005,6,4.129
05-03-2005,6,4.164
07-03-2005,6,4.2
09-03-2005,6,4.2
14-03-2005,6,4.2
19-03-2005,6,4.236
24-03-2005,6,4.271
29-03-2005,6,4.307
03-04-2005,6,4.343
08-04-2005,6,4.379
13-04-2005,6,4.414
18-04-2005,6,4.45
23-04-2005,6,4.45
25-04-2005,6,4.45
27-04-2005,6,4.486
29-04-2005,6,4.521
01-05-2005,6,4.557
03-05-2005,6,4.593
05-05-2005,6,4.629
07-05-2005,6,4.664
09-05-2005,6,4.7
12-05-2005,6,4.7
14-05-2005,6,4.7
16-05-2005,6,4.736
19-05-2005,6,4.771
21-05-2005,6,4.807
23-05-2005,6,4.843
26-05-2005,6,4.879
28-05-2005,6,4.914
30-05-2005,6,4.95
02-06-2005,6,4.95
07-06-2005,6,4.95
13-06-2005,6,4.986
19-06-2005,6,5.021
24-06-2005,6,5.057
30-06-2005,6,5.093
06-07-2005,6,5.129
11-07-2005,6,5.164
17-07-2005,6,5.2
23-07-2005,6,5.2
25-07-2005,6,5.2
27-07-2005,6,5.236
29-07-2005,6,5.271
31-07-2005,6,5.307
03-08-2005,6,5.343
05-08-2005,6,5.379
07-08-2005,6,5.414
09-08-2005,6,5.45
12-08-2005,6,5.45
15-08-2005,6,5.45
18-08-2005,6,5.486
22-08-2005,6,5.521
25-08-2005,6,5.557
29-08-2005,6,5.593
01-09-2005,6,5.629
05-09-2005,6,5.664
08-09-2005,6,5.7
12-09-2005,6,5.7
17-09-2005,6,5.7
22-09-2005,6,5.736
28-09-2005,6,5.771
03-10-2005,6,5.807
09-10-2005,6,5.843
14-10-2005,6,5.879
20-10-2005,6,5.914
25-10-2005,6,5.95
31-10-2005,6,5.95
03-11-2005,6.23,5.95
06-11-2005,6.197,5.986
10-11-2005,6.164,6.021
13-11-2005,6.131,6.057
16-11-2005,6.099,6.093
20-11-2005,6.066,6.129
23-11-2005,6.033,6.164
26-11-2005,6,6.2
30-11-2005,6.23,6.2
02-12-2005,6.25,6.2
04-12-2005,6.247,6.236
06-12-2005,6.244,6.271
08-12-2005,6.241,6.307
11-12-2005,6.239,6.343
13-12-2005,6.236,6.379
15-12-2005,6.233,6.414
17-12-2005,6.23,6.45
20-12-2005,6.25,6.45
24-12-2005,6.5,6.45
29-12-2005,6.464,6.486
02-01-2006,6.429,6.521
07-01-2006,6.393,6.557
11-01-2006,6.357,6.593
16-01-2006,6.321,6.629
20-01-2006,6.286,6.664
25-01-2006,6.25,6.7
30-01-2006,6.5,6.7
01-02-2006,6.5,6.633
03-02-2006,6.5,6.643
05-02-2006,6.5,6.652
07-02-2006,6.5,6.662
10-02-2006,6.5,6.671
12-02-2006,6.5,6.681
14-02-2006,6.5,6.69
16-02-2006,6.5,6.7
19-02-2006,6.5,6.633
21-02-2006,6.5,6.567
23-02-2006,6.5,6.576
25-02-2006,6.5,6.586
27-02-2006,6.5,6.595
01-03-2006,6.5,6.605
03-03-2006,6.5,6.614
05-03-2006,6.5,6.624
07-03-2006,6.5,6.633
09-03-2006,6.5,6.567
14-03-2006,6.5,6.5
19-03-2006,6.5,6.51
24-03-2006,6.5,6.519
29-03-2006,6.5,6.529
03-04-2006,6.5,6.538
08-04-2006,6.5,6.548
13-04-2006,6.5,6.557
18-04-2006,6.5,6.567
23-04-2006,6.5,6.5
25-04-2006,6.5,6.433
27-04-2006,6.5,6.443
29-04-2006,6.5,6.452
01-05-2006,6.5,6.462
03-05-2006,6.5,6.471
05-05-2006,6.5,6.481
07-05-2006,6.5,6.49
09-05-2006,6.5,6.5
12-05-2006,6.5,6.433
14-05-2006,6.75,6.367
16-05-2006,6.714,6.376
19-05-2006,6.679,6.386
21-05-2006,6.643,6.395
23-05-2006,6.607,6.405
26-05-2006,6.571,6.414
28-05-2006,6.536,6.424
30-05-2006,6.5,6.433
02-06-2006,6.75,6.367
07-06-2006,7,6.3
13-06-2006,6.964,6.31
19-06-2006,6.929,6.319
24-06-2006,6.893,6.329
30-06-2006,6.857,6.338
06-07-2006,6.821,6.348
11-07-2006,6.786,6.357
17-07-2006,6.75,6.367
23-07-2006,7,6.3
25-07-2006,7,6.233
27-07-2006,7,6.243
29-07-2006,7,6.252
31-07-2006,7,6.262
03-08-2006,7,6.271
05-08-2006,7,6.281
07-08-2006,7,6.29
09-08-2006,7,6.3
12-08-2006,7,6.233
15-08-2006,7,6.167
18-08-2006,7,6.176
22-08-2006,7,6.186
25-08-2006,7,6.195
29-08-2006,7,6.205
01-09-2006,7,6.214
05-09-2006,7,6.224
08-09-2006,7,6.233
12-09-2006,7,6.167
17-09-2006,7,6.1
22-09-2006,7,6.11
28-09-2006,7,6.119
03-10-2006,7,6.129
09-10-2006,7,6.138
14-10-2006,7,6.148
20-10-2006,7,6.157
25-10-2006,7,6.167
31-10-2006,7,6.1
03-11-2006,7,6.033
06-11-2006,7,6.043
10-11-2006,7,6.052
13-11-2006,7,6.062
16-11-2006,7,6.071
20-11-2006,7,6.081
23-11-2006,7,6.09
26-11-2006,7,6.1
30-11-2006,7,6.033
02-12-2006,7,5.967
04-12-2006,7,5.976
06-12-2006,7,5.986
08-12-2006,7,5.995
11-12-2006,7,6.005
13-12-2006,7,6.014
15-12-2006,7,6.024
17-12-2006,7,6.033
20-12-2006,7,5.967
24-12-2006,7,5.9
29-12-2006,7,5.91
02-01-2007,7,5.919
07-01-2007,7,5.929
11-01-2007,7,5.938
16-01-2007,7,5.948
20-01-2007,7,5.957
25-01-2007,7,5.967
30-01-2007,7,5.9
01-02-2007,7,5.9
03-02-2007,7,5.939
05-02-2007,7,5.979
07-02-2007,7,6.018
10-02-2007,7,6.057
12-02-2007,7,6.096
14-02-2007,7,6.136
16-02-2007,7,6.175
19-02-2007,7,6.175
21-02-2007,7,6.175
23-02-2007,7,6.214
25-02-2007,7,6.254
27-02-2007,7,6.293
01-03-2007,7,6.332
03-03-2007,7,6.371
05-03-2007,7,6.411
07-03-2007,7,6.45
09-03-2007,7,6.45
14-03-2007,7,6.45
19-03-2007,7,6.489
24-03-2007,7,6.529
29-03-2007,7,6.568
03-04-2007,7,6.607
08-04-2007,7,6.646
13-04-2007,7,6.686
18-04-2007,7,6.725
23-04-2007,7,6.725
25-04-2007,7,6.725
27-04-2007,7,6.764
29-04-2007,7,6.804
01-05-2007,7,6.843
03-05-2007,7,6.882
05-05-2007,7,6.921
07-05-2007,7,6.961
09-05-2007,7,7
12-05-2007,7,7
14-05-2007,7,7
16-05-2007,7,7.039
19-05-2007,7,7.079
21-05-2007,7,7.118
23-05-2007,7,7.157
26-05-2007,7,7.196
28-05-2007,7,7.236
30-05-2007,7,7.275
02-06-2007,7,7.275
07-06-2007,7,7.275
13-06-2007,7,7.314
19-06-2007,7,7.354
24-06-2007,7,7.393
30-06-2007,7,7.432
06-07-2007,7,7.471
11-07-2007,7,7.511
17-07-2007,7,7.55
23-07-2007,7,7.55
25-07-2007,7,7.55
27-07-2007,7,7.589
29-07-2007,7,7.629
31-07-2007,7,7.668
03-08-2007,7,7.707
05-08-2007,7,7.746
07-08-2007,7,7.786
09-08-2007,7,7.825
12-08-2007,7,7.825
15-08-2007,7,7.825
18-08-2007,7,7.864
22-08-2007,7,7.904
25-08-2007,7,7.943
29-08-2007,7,7.982
01-09-2007,7,8.021
05-09-2007,7,8.061
08-09-2007,7,8.1
12-09-2007,7,8.1
17-09-2007,7,8.1
22-09-2007,7,8.139
28-09-2007,7,8.179
03-10-2007,7,8.218
09-10-2007,7,8.257
14-10-2007,7,8.296
20-10-2007,7,8.336
25-10-2007,7,8.375
31-10-2007,7,8.375
03-11-2007,7,8.375
06-11-2007,7,8.414
10-11-2007,7,8.454
13-11-2007,7,8.493
16-11-2007,7,8.532
20-11-2007,7,8.571
23-11-2007,7,8.611
26-11-2007,7,8.65
30-11-2007,7,8.65
02-12-2007,7,8.65
04-12-2007,7,8.689
06-12-2007,7,8.729
08-12-2007,7,8.768
11-12-2007,7,8.807
13-12-2007,7,8.846
15-12-2007,7,8.886
17-12-2007,7,8.925
20-12-2007,7,8.925
24-12-2007,7,8.925
29-12-2007,7,8.964
02-01-2008,7,9.004
07-01-2008,7,9.043
11-01-2008,7,9.082
16-01-2008,7,9.121
20-01-2008,7,9.161
25-01-2008,7,9.2
30-01-2008,7,9.2
01-02-2008,7,9.2
03-02-2008,7,9.217
05-02-2008,7,9.233
07-02-2008,7,9.25
10-02-2008,7,9.267
12-02-2008,7,9.284
14-02-2008,7,9.3
16-02-2008,7,9.317
19-02-2008,7,9.317
21-02-2008,7,9.317
23-02-2008,7,9.334
25-02-2008,7,9.35
27-02-2008,7,9.367
29-02-2008,7,9.383
02-03-2008,7,9.4
04-03-2008,7,9.416
06-03-2008,7,9.433
09-03-2008,7,9.433
14-03-2008,7,9.433
19-03-2008,7,9.45
24-03-2008,7,9.466
29-03-2008,7,9.483
03-04-2008,7,9.5
08-04-2008,7,9.517
13-04-2008,7,9.533
18-04-2008,7,9.55
23-04-2008,7,9.55
25-04-2008,7,9.55
27-04-2008,7,9.567
29-04-2008,7,9.583
01-05-2008,7,9.6
03-05-2008,7,9.617
05-05-2008,7,9.634
07-05-2008,7,9.65
09-05-2008,7,9.667
12-05-2008,7,9.667
14-05-2008,7,9.667
16-05-2008,7,9.684
19-05-2008,7,9.7
21-05-2008,7,9.717
23-05-2008,7,9.733
26-05-2008,7,9.75
28-05-2008,7,9.766
30-05-2008,7,9.783
02-06-2008,7,9.783
07-06-2008,7,9.783
13-06-2008,7,9.8
19-06-2008,7,9.816
24-06-2008,7,9.833
30-06-2008,7,9.85
06-07-2008,7,9.867
11-07-2008,7,9.883
17-07-2008,7,9.9
23-07-2008,7,9.9
25-07-2008,7,9.9
27-07-2008,7,9.917
29-07-2008,7,9.933
31-07-2008,7,9.95
03-08-2008,7,9.967
05-08-2008,7,9.984
07-08-2008,7,10
09-08-2008,7,10.017
12-08-2008,7,10.017
15-08-2008,7,10.017
18-08-2008,7,10.034
