Date,Average,Loan Rate
30-01-2000,8,12.292
01-02-2000,9.6,12.276
03-02-2000,9.371,12.278
05-02-2000,9.143,12.281
07-02-2000,8.914,12.283
10-02-2000,8.686,12.285
12-02-2000,8.457,12.287
14-02-2000,8.229,12.29
16-02-2000,8,12.292
19-02-2000,9.6,12.276
21-02-2000,12,12.26
23-02-2000,11.657,12.262
25-02-2000,11.314,12.265
27-02-2000,10.971,12.267
29-02-2000,10.629,12.269
02-03-2000,10.286,12.271
04-03-2000,9.943,12.274
06-03-2000,9.6,12.276
09-03-2000,12,12.26
14-03-2000,12,12.244
19-03-2000,11.857,12.246
24-03-2000,11.714,12.249
29-03-2000,11.571,12.251
03-04-2000,11.429,12.253
08-04-2000,11.286,12.255
13-04-2000,11.143,12.258
18-04-2000,11,12.26
23-04-2000,11,12.244
25-04-2000,11,12.228
27-04-2000,10.786,12.23
29-04-2000,10.571,12.233
01-05-2000,10.357,12.235
03-05-2000,10.143,12.237
05-05-2000,9.929,12.239
07-05-2000,9.714,12.242
09-05-2000,9.5,12.244
12-05-2000,9.5,12.228
14-05-2000,9.5,12.212
16-05-2000,9.464,12.214
19-05-2000,9.429,12.217
21-05-2000,9.393,12.219
23-05-2000,9.357,12.221
26-05-2000,9.321,12.223
28-05-2000,9.286,12.226
30-05-2000,9.25,12.228
02-06-2000,9.25,12.212
07-06-2000,9.25,12.196
13-06-2000,9.229,12.198
19-06-2000,9.207,12.201
24-06-2000,9.186,12.203
30-06-2000,9.164,12.205
06-07-2000,9.143,12.207
11-07-2000,9.121,12.21
17-07-2000,9.1,12.212
23-07-2000,9.1,12.196
25-07-2000,9.1,12.179
27-07-2000,9.086,12.181
29-07-2000,9.071,12.184
31-07-2000,9.057,12.186
03-08-2000,9.043,12.189
05-08-2000,9.029,12.191
07-08-2000,9.014,12.194
09-08-2000,9,12.196
12-08-2000,9,12.179
15-08-2000,9,12.163
18-08-2000,8.964,12.165
22-08-2000,8.929,12.168
25-08-2000,8.893,12.17
29-08-2000,8.857,12.172
01-09-2000,8.821,12.174
05-09-2000,8.786,12.177
08-09-2000,8.75,12.179
12-09-2000,8.75,12.163
17-09-2000,8.75,12.147
22-09-2000,8.679,12.149
28-09-2000,8.607,12.152
03-10-2000,8.536,12.154
09-10-2000,8.464,12.156
14-10-2000,8.393,12.158
20-10-2000,8.321,12.161
25-10-2000,8.25,12.163
31-10-2000,8.25,12.147
03-11-2000,8.25,12.131
06-11-2000,8.214,12.133
10-11-2000,8.179,12.136
13-11-2000,8.143,12.138
16-11-2000,8.107,12.14
20-11-2000,8.071,12.142
23-11-2000,8.036,12.145
26-11-2000,8,12.147
30-11-2000,8,12.131
02-12-2000,8,12.115
04-12-2000,8,12.117
06-12-2000,8,12.12
08-12-2000,8,12.122
11-12-2000,8,12.124
13-12-2000,8,12.126
15-12-2000,8,12.129
17-12-2000,8,12.131
20-12-2000,8,12.115
24-12-2000,8,12.099
29-12-2000,8,12.101
02-01-2001,8,12.104
07-01-2001,8,12.106
11-01-2001,8,12.108
16-01-2001,8,12.11
20-01-2001,8,12.113
25-01-2001,8,12.115
30-01-2001,8,12.099
01-02-2001,8,12.083
03-02-2001,7.929,12.085
05-02-2001,7.857,12.088
07-02-2001,7.786,12.09
10-02-2001,7.714,12.092
12-02-2001,7.643,12.094
14-02-2001,7.571,12.097
16-02-2001,7.5,12.099
19-02-2001,7.5,12.083
21-02-2001,7.5,12.068
23-02-2001,7.429,12.07
25-02-2001,7.357,12.072
27-02-2001,7.286,12.074
01-03-2001,7.214,12.077
03-03-2001,7.143,12.079
05-03-2001,7.071,12.081
07-03-2001,7,12.083
